 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.9779718	0.02000349	0.0015733213	0.00041157813	2.307277e-05	1.0378291e-05	6.3690377e-06
c	0.9988959	0.0010989243	3.863776e-06	1.0920951e-06	1.4948589e-07	7.7319854e-08	4.1492722e-08
h	0.88477176	0.112354666	0.0020962548	0.0003750556	5.9267106e-05	6.5232593e-06	0.00033639153
a	0.98342854	0.016396282	0.00015555031	1.3189988e-05	1.846147e-06	1.4307767e-07	4.3399127e-06
n	0.9524184	0.04547488	0.0017106775	0.00030789096	3.75664e-05	9.06475e-06	4.1408563e-05
a	0.08985698	0.8583634	0.049523793	0.0019887767	8.5026244e-05	7.231312e-06	0.00017465514
v	0.07871198	0.85206777	0.06766227	0.0014209676	8.78067e-05	2.2149768e-05	2.7070844e-05
o	0.000269563	0.77690107	0.2171167	0.0048238905	0.00021199962	2.3975406e-05	0.00065271434
r	0.01823662	0.85591924	0.123169124	0.0024913754	0.00012354492	3.7726928e-05	2.226944e-05
à	0.000160791	0.6808118	0.28864497	0.026226027	0.00083538	0.000119287506	0.0032017187
s	0.0014511476	0.17362653	0.6387547	0.17109628	0.011424817	0.0019881672	0.0016583868
o	0.0006059956	0.81335	0.17040989	0.009962583	0.0012075661	0.00010652831	0.004357422
t	0.024291065	0.02495218	0.75520134	0.16664685	0.019119935	0.0033132867	0.0064753406
o	0.00015413905	0.04050773	0.7875747	0.1377232	0.010911423	0.0011374442	0.021991393
t	0.06047305	0.00056115206	0.033375822	0.74856037	0.10780261	0.01802578	0.031201113
s	0.00052698265	0.0012544163	0.1933103	0.6048664	0.07370769	0.01301244	0.11332179
o	4.3172386e-05	1.9406132e-05	0.0037262065	0.56003445	0.14634806	0.07417096	0.21565776
m	0.001915332	1.9454994e-05	0.0014050123	0.5710028	0.26890793	0.05421048	0.10253902
ì	0.11958831	0.0024953287	0.005532244	0.4388942	0.10211367	0.028899277	0.30247694
k	0.018512186	9.871381e-06	0.00013454267	0.09028046	0.55685854	0.22943246	0.10477191
à	0.00014927167	0.00012250658	0.0016382354	0.18101253	0.36500037	0.036888413	0.41518867
i	0.001081285	4.714589e-06	0.000103340935	0.011839343	0.3929374	0.44292027	0.15111367
m	6.998277e-05	2.9052483e-06	2.6578682e-05	0.0018914578	0.29063806	0.55846936	0.14890166
è	0.0044523473	5.2831143e-05	0.0003664607	0.0018198346	0.0670591	0.1487652	0.77748424
r	0.004066893	2.5783058e-05	0.00011860773	0.0033002677	0.030197416	0.72668487	0.23560615
i	0.041721653	0.0018709067	0.0031258313	0.0011762091	0.05639279	0.45816615	0.4375464
</S>	0.0021448482	0.00021351084	0.00070715824	0.010993961	0.035898782	0.4544894	0.49555227
