 	il	medico	mi	ha	detto	che	non	devo	mangiare	dolci	perché	mi	fanno	male	a	me	mi	piacciono	e	li	mangio	</S>
o	0.9850086	0.008559772	0.0031582091	0.0022447314	0.00095702976	2.911774e-05	3.1749494e-06	2.3678425e-05	6.8820927e-06	2.8383113e-06	2.3780508e-07	2.4038852e-07	4.5229267e-06	2.3580958e-07	4.206798e-08	3.2465607e-08	1.3478068e-07	4.0725595e-07	1.5981312e-08	7.1644823e-09	6.7190955e-09	7.098241e-09
m	0.66370714	0.33469293	0.0011583832	0.00039450775	3.0828767e-05	6.8417385e-06	9.34573e-07	4.4367157e-06	4.864396e-07	3.2669802e-06	1.8266572e-07	5.746988e-08	6.6229067e-09	2.1154612e-08	8.491533e-09	5.250935e-09	1.0765386e-08	2.0854016e-09	3.952237e-09	1.6869779e-09	7.656371e-10	9.836701e-09
e	0.39291418	0.56642485	0.036850635	0.002787518	0.0007454021	0.000110803645	6.361092e-05	5.9275666e-05	2.0884872e-05	1.2584906e-05	3.3594795e-06	3.775796e-06	3.4484992e-07	7.123459e-07	2.9171818e-07	1.9325593e-07	1.3326421e-06	7.0772074e-08	1.3888436e-07	8.961461e-09	1.2801192e-09	4.3474063e-08
s	0.08139132	0.8923429	0.025007289	0.0011810561	7.024696e-05	3.4618438e-06	1.8275475e-06	1.6928458e-06	6.1685725e-08	2.6515067e-08	6.874121e-10	1.7687916e-09	6.60197e-10	2.9807398e-10	5.7716644e-11	3.9398238e-11	3.1482045e-10	1.1999643e-10	3.3622636e-11	2.6096072e-12	1.0588769e-12	1.2521707e-11
s	0.07622204	0.83816427	0.06888699	0.010061127	0.0047684913	0.0008760954	0.00031504294	0.00030956377	0.00022121132	6.6461114e-05	4.351267e-05	2.448029e-05	1.12618945e-05	6.4566243e-06	3.1792e-06	1.8861446e-06	1.4446692e-05	1.5177727e-06	1.1442402e-06	1.13457524e-07	3.9783604e-08	5.8159065e-07
è	0.028470395	0.6199097	0.14526765	0.13872235	0.056796342	0.0043489966	0.0009171295	0.0035086225	0.001264636	0.000459387	7.2277646e-05	6.58506e-05	9.411152e-05	3.3368535e-05	9.102896e-06	5.0408266e-06	3.8345243e-05	1.4096797e-05	1.962839e-06	2.4816148e-07	1.027267e-07	3.9982825e-07
r	0.01504923	0.817677	0.12831347	0.03490309	0.003736491	0.00021820838	5.6370358e-05	3.9361035e-05	4.9710316e-06	1.3399499e-06	1.5638695e-07	1.12258654e-07	1.0150878e-07	2.9403749e-08	7.653736e-09	4.280087e-09	3.7243485e-08	1.5179031e-08	2.2819293e-09	2.2594032e-10	2.6195343e-10	9.632469e-10
e	0.0095217135	0.7009729	0.17495117	0.064789996	0.021235311	0.014934156	0.0014307327	0.002562142	0.003088229	0.0047857985	0.0014196597	9.091329e-05	3.6452937e-05	8.903116e-05	3.160849e-05	1.5285596e-05	1.1248203e-05	8.863091e-06	4.290745e-06	3.7339016e-06	2.1080054e-06	1.4664127e-05
m	0.002007026	0.12482307	0.77669305	0.07055874	0.021283044	0.0027487867	0.0012431521	0.0004985526	0.00010311543	2.6952757e-05	4.722781e-06	4.299555e-06	1.9118063e-06	6.362853e-07	3.5911293e-07	2.0727705e-07	1.9345894e-06	3.212465e-07	9.554054e-08	6.5008225e-09	3.942271e-09	4.542768e-08
u	0.0041543436	0.08157133	0.601533	0.16624466	0.09353101	0.027657602	0.007398788	0.007112373	0.00662673	0.001683187	0.0012783586	0.0004404255	0.00023380654	0.00014476226	5.8032303e-05	3.562361e-05	0.00022021707	3.910145e-05	1.9445064e-05	3.3324495e-06	1.4832174e-06	1.2329331e-05
