 	io	non	ho	niente	da	mangiare	</S>
e	0.6121228	0.36908957	0.018476296	0.0002935455	9.756235e-06	5.259356e-06	2.7873048e-06
v	0.94453925	0.050778534	0.0039554713	0.000713746	8.663087e-06	2.9223966e-06	1.4753808e-06
ò	0.036079623	0.19616337	0.75867265	0.0089141745	0.00014000686	8.627122e-06	2.1518776e-05
e	0.0736957	0.8113623	0.098132305	0.01608923	0.0006375903	6.0571736e-05	2.2275914e-05
n	0.030384053	0.24586956	0.6855787	0.037626326	0.00043803218	6.703528e-05	3.631298e-05
è	0.034599293	0.08391524	0.8501196	0.030864244	0.00034980004	6.186055e-05	8.985236e-05
c	0.028313365	0.09124125	0.2745479	0.5868014	0.013775513	0.0041782507	0.0011422931
h	0.12446772	0.03840919	0.5075898	0.31487465	0.009142909	0.0026220842	0.002893663
o	0.030060545	0.015812509	0.5157434	0.39422172	0.030500459	0.006235789	0.00742562
t	0.017854106	0.0007881651	0.022518998	0.8825082	0.044267725	0.020349147	0.011713688
ì	0.0006404332	0.002541761	0.045071237	0.879329	0.04853317	0.008958012	0.01492644
p	0.014183664	0.011709499	0.0027725003	0.028290452	0.6539283	0.19597971	0.09313595
o	3.1598585e-05	0.00016667531	0.00067274773	0.375845	0.3872722	0.10832348	0.12768836
t	0.026224462	0.0019921989	0.001373838	0.002718252	0.5384193	0.2704813	0.15879075
i	4.741405e-05	0.00011812543	0.00065024284	0.02765488	0.43871748	0.18563007	0.3471819
n	0.006620865	0.0017351529	0.00025927418	0.00012426308	0.20145929	0.49310932	0.29669192
a	4.971756e-05	2.5011914e-05	8.4943764e-05	0.00057032704	0.1864384	0.3582566	0.454575
f	0.004221504	0.0042942194	0.00012184273	6.207232e-05	0.032330513	0.7063684	0.25260141
à	0.00014654265	6.175842e-05	0.000105947045	0.0001744105	0.032645106	0.45251393	0.5143523
o	0.0054215384	0.006181644	0.00015969275	0.00023080564	0.011190202	0.70277584	0.27404025
</S>	0.0015987895	0.0036806734	0.0008246644	0.00048548737	0.013991787	0.39937752	0.5800411
