 	l'	ho	sentito	che	viene	</S>
o	0.9941409	0.0056083454	0.00021376449	1.679774e-05	1.2949253e-05	7.2027274e-06
n	0.015903547	0.88290876	0.09429502	0.005584267	0.0009495458	0.0003588112
ì	0.025738368	0.93969166	0.0329865	0.0014015385	5.8632704e-05	0.00012321882
k	0.00043620775	0.5708649	0.37258363	0.040411126	0.013875927	0.0018281521
u	0.0706431	0.6852693	0.17476165	0.031693947	0.008830568	0.028801415
s	0.00037637923	0.07654981	0.30621064	0.30368546	0.19626077	0.116916925
a	0.053387437	0.071432725	0.45286477	0.3139424	0.020974781	0.087397926
n	0.0033801878	0.024228025	0.033277463	0.5857842	0.26832944	0.085000694
a	0.014388245	0.00069492485	0.043791305	0.68350714	0.04895674	0.20866157
r	0.01437141	0.0022384974	0.0010174798	0.09849961	0.79365563	0.09021743
t	0.004456841	0.00075520406	0.002511613	0.17830928	0.101863	0.7121041
i	0.0005088512	6.438981e-06	4.6286972e-05	0.027774068	0.45934743	0.51231694
</S>	0.049349	0.0023409005	0.00053758465	0.005680249	0.6548085	0.28728372
