 	perché	aveva	lavorato	tutta	la	settimana	</S>
j	0.9899367	0.008831867	0.001190524	3.774154e-05	2.3413781e-06	7.4408945e-07	1.2778986e-07
a	0.9207862	0.078658864	0.00054848817	6.3622515e-06	1.5199454e-07	3.609574e-08	9.197609e-09
t	0.81854075	0.16716196	0.014247993	4.6137196e-05	2.9689559e-06	1.4026274e-07	9.822866e-08
ì	0.044911925	0.9211533	0.032643862	0.0012463368	2.7476475e-05	9.9611e-06	7.0026563e-06
ì	0.009903904	0.97995514	0.010016463	0.000111168054	1.1539673e-05	1.3621257e-06	3.6735835e-07
c	0.00021086946	0.81971085	0.17855713	0.0014399955	2.4424933e-05	3.8578855e-05	1.804606e-05
h	0.009987706	0.88377804	0.0925822	0.011978242	0.00059819454	0.0008414258	0.0002340567
e	0.05542821	0.48671976	0.40502155	0.046384405	0.003873831	0.0017977229	0.00077459327
p	0.00022765597	0.048955366	0.93912584	0.011371109	0.00024705977	3.350776e-05	3.9573653e-05
o	0.0013958336	0.069230564	0.81071025	0.11242536	0.0037165617	0.0014015667	0.0011199111
l	0.00306807	0.025390346	0.90652764	0.0608622	0.0036396203	0.00017234267	0.00033979502
e	0.00030056073	0.00732326	0.69149673	0.27649885	0.013424536	0.0068642762	0.0040918244
m	0.024472486	0.029124472	0.8734085	0.06732704	0.0045686928	0.0006374745	0.0004613961
ì	0.000392123	0.006062051	0.714447	0.25951472	0.010094909	0.0057233865	0.0037657795
s	0.14548384	0.026045846	0.47298875	0.3048183	0.03952523	0.0077994107	0.0033386978
o	0.0005040229	0.0012798874	0.8302289	0.15579267	0.0045740036	0.0055969334	0.0020234552
n	0.0020214843	0.008579579	0.047841918	0.9018757	0.027113276	0.0069937725	0.0055744224
t	6.998326e-06	0.00021342773	0.025751103	0.86016107	0.07019623	0.030473057	0.013198137
a	2.2459624e-05	4.2846227e-06	0.0018496838	0.5381458	0.29377812	0.05342184	0.11277782
ò	0.0020327298	0.0014255578	0.0003875901	0.75246704	0.19808735	0.015025054	0.030574678
l	0.0006435263	0.0008172172	0.000278041	0.5432574	0.24939497	0.1071567	0.09845215
i	7.882285e-06	5.798604e-05	0.0008864852	0.5727093	0.18034714	0.19963524	0.046355955
t	0.001962271	0.00039228876	5.767385e-05	0.0339476	0.62814415	0.10373006	0.23176594
i	5.790167e-05	3.4637636e-05	1.5012442e-05	0.15040934	0.47053534	0.20539393	0.17355385
n	0.0018426751	9.9757526e-05	6.290068e-05	0.003419978	0.53164965	0.06544515	0.39747995
a	9.329083e-05	1.5932623e-05	6.7164083e-06	0.01675738	0.42027026	0.22139676	0.34145972
d	0.0026152367	8.84024e-05	0.00017109049	0.0013550963	0.35919136	0.09770497	0.53887385
d	7.4253476e-05	0.00012900471	1.1851009e-05	0.004723409	0.06909324	0.5560088	0.36995947
o	6.773863e-07	1.0764365e-05	1.355852e-05	0.0002441822	0.008011242	0.59087145	0.40084818
m	0.0022881466	0.00023088908	4.349595e-05	0.0013641067	0.03448209	0.444514	0.51707727
à	5.8220903e-05	2.4169238e-05	3.2948324e-06	0.0010094041	0.018951513	0.491179	0.4887744
d	0.08951123	0.02065482	0.0032146217	0.02542123	0.06510696	0.33377373	0.46231747
a	0.00029286934	0.0026928014	0.00023701906	0.0005539037	0.0047723195	0.866733	0.12471811
</S>	0.037800696	0.0052563287	0.0049957368	0.021401374	0.23775904	0.11031186	0.58247495
