 	non	so	cosa	scrive	</S>
e	0.9968201	0.003098174	4.3993565e-05	2.8890066e-05	8.918201e-06
n	0.7364216	0.19139716	0.0710786	0.0009915557	0.00011103282
e	0.66983664	0.3265121	0.0032142606	0.00024036477	0.00019669799
t	0.01986072	0.13356173	0.8303812	0.015216797	0.0009794892
s	0.15573639	0.6285101	0.19451906	0.012631206	0.008603185
è	0.10005079	0.2276723	0.40748355	0.15255472	0.11223862
r	0.017107405	0.07063119	0.87039024	0.030242195	0.011629
o	0.010151745	0.6242409	0.2511183	0.06571812	0.048770957
t	0.003568961	0.012592316	0.766828	0.13778849	0.07922229
i	0.0060196244	0.010528158	0.6973257	0.1263505	0.15977593
g	0.007188904	0.002708239	0.065253064	0.7938034	0.13104647
r	0.0070175896	0.0054634074	0.28692803	0.33308113	0.36750978
à	0.00010781843	2.020361e-05	0.0025395271	0.23975001	0.7575824
f	0.0055365567	0.00035623313	0.007199138	0.7489897	0.23791847
i	9.748133e-06	6.971133e-05	0.031221006	0.67679787	0.29190165
</S>	0.07046168	0.0025037	0.0016036248	0.24487993	0.680551
