 	ha	che	sono	usciti	</S>
è	0.9921978	0.007372586	0.0001292035	0.00024047107	5.998004e-05
n	0.6592035	0.3017685	0.032573413	0.005299739	0.0011548089
a	0.36607665	0.6155188	0.01534261	0.0005274553	0.002534467
g	0.034776393	0.5830149	0.1253388	0.20234685	0.05452312
u	0.0026376722	0.7181153	0.27769238	0.0010005271	0.0005540294
ì	0.00055923423	0.038281236	0.22181451	0.7203815	0.018963493
k	0.00025566696	0.007428288	0.45207426	0.059724387	0.48051742
a	0.00018226895	0.008162292	0.110787444	0.79373354	0.08713447
n	0.014640317	0.004873759	0.06239554	0.22477052	0.69331986
e	0.0008969449	0.0031715143	0.29972765	0.3275758	0.36862808
</S>	0.14735235	0.0026769154	0.021285001	0.14455384	0.6841319
