 	non	è	li	dimentichiamo	mai	i	i	padri	e	le	madri	</S>
e	0.98118365	0.018048076	0.0006462226	9.019574e-05	2.6259448e-05	4.563917e-06	5.437935e-07	8.9122345e-08	1.8696815e-08	7.2692066e-09	2.2750334e-07	1.7238905e-08
n	0.4434318	0.5034055	0.052946135	0.00021510969	9.037814e-07	3.0173015e-07	7.51103e-08	5.0137583e-09	6.469959e-09	3.4774694e-09	9.388035e-10	7.9394574e-08
è	0.08180058	0.8889339	0.028523479	0.00055895065	0.00014166889	3.155783e-05	8.361753e-06	8.0810383e-07	2.5470928e-07	6.440944e-08	2.7068242e-07	6.869072e-08
n	0.019616764	0.9322376	0.04783512	0.00028662678	2.3024115e-05	7.8806136e-07	8.625969e-08	2.3894998e-08	5.0452225e-09	5.370486e-10	5.193831e-09	1.2361215e-08
a	0.038850304	0.80485535	0.15519696	0.0008662951	0.00017636076	3.6254773e-05	1.5796375e-05	1.0614964e-06	5.783454e-07	1.606191e-07	1.6851497e-07	7.478481e-07
l	0.00807985	0.10667377	0.86406165	0.01952461	0.0015246155	0.00011062651	1.77508e-05	5.6662084e-06	6.461901e-07	9.921845e-08	2.1522698e-07	5.5437755e-07
l	0.004976765	0.18164995	0.7002565	0.090481624	0.013050812	0.0068002837	0.0025149896	0.0001287454	4.9553197e-05	2.9512572e-05	4.0332903e-05	2.089508e-05
i	0.0038245765	0.0029191063	0.28139085	0.43804935	0.18789542	0.058293834	0.017450847	0.0047924295	0.001340966	0.00071686297	0.0029370224	0.0003887842
m	0.0012489889	0.0014213197	0.51552206	0.47328085	0.0067610233	0.0015976792	0.00013251884	2.3094917e-05	4.988138e-06	3.910165e-07	3.9251304e-06	3.2086614e-06
o	0.011178515	0.028904527	0.7313975	0.17745167	0.03255096	0.014214144	0.0038809974	0.00022825728	8.802855e-05	2.4360728e-05	3.4570654e-05	4.652114e-05
n	0.001496956	0.0010726376	0.24742863	0.73074853	0.016673686	0.0023063542	0.00019571066	5.7306148e-05	9.609588e-06	6.071773e-07	5.774302e-06	4.0987734e-06
ì	0.00012743387	0.0031755639	0.42435062	0.38957542	0.11637979	0.05180437	0.013122039	0.00078326697	0.0002996143	6.9725655e-05	3.0206658e-05	0.00028191236
s	0.025824217	0.0063303076	0.030573806	0.3297039	0.55710113	0.037302416	0.007845326	0.0044254796	0.0005828614	5.603546e-05	0.00013860804	0.000115948824
u	1.7614973e-05	0.00038610073	0.24250987	0.43603805	0.20720428	0.074699536	0.032210767	0.0030400294	0.0016345205	0.0006392779	0.0010279183	0.00059202587
m	0.003294626	0.0057960395	0.0018227963	0.11767135	0.7730412	0.073971465	0.012602136	0.01063992	0.0008956127	6.226589e-05	9.730846e-05	0.00010532918
e	0.00030150588	0.0016767996	0.0063854884	0.13965896	0.4735952	0.28763762	0.08328958	0.0036839687	0.0015048978	0.00055192143	0.0006291681	0.0010849279
m	0.19595003	0.0018070078	0.00019363516	0.013316145	0.58484393	0.18167865	0.0139293	0.00685924	0.0007929606	3.3978795e-05	0.0003967774	0.0001983065
a	0.0004098204	0.0013272738	0.001528805	0.01824924	0.5016236	0.3686559	0.09801172	0.004549688	0.002113293	0.00065742043	0.0005602842	0.0023130523
i	0.06881374	0.0013652642	5.1048977e-05	0.004343355	0.6663308	0.21692474	0.024563873	0.0153723685	0.0014503091	7.115364e-05	0.00047875993	0.0002344961
