 	il	dito	si	gonfiò	</S>
o	0.99164337	0.005379566	0.0014296485	0.0009000168	0.00064730766
d	0.15916052	0.8405015	0.00025142534	3.495737e-05	5.1656603e-05
à	0.8260065	0.15656748	0.012821531	0.000977071	0.0036273107
t	0.18258105	0.64390004	0.15404117	0.0115225315	0.007955207
t	0.108750865	0.46454585	0.21084529	0.043375354	0.17248264
i	0.06718706	0.042788234	0.5978218	0.09431387	0.19788909
l	0.0011727872	0.84675264	0.13586502	0.011065622	0.005143904
o	0.017217433	0.07865815	0.6283276	0.11038714	0.16540964
è	0.0010876682	0.025438981	0.9384808	0.027312156	0.0076804045
p	0.00018916081	0.021464175	0.49431956	0.3558792	0.12814797
r	1.2943495e-05	0.0009246075	0.42474833	0.3606627	0.21365143
i	0.0070221475	0.0012946381	0.18933174	0.6009249	0.20142654
m	0.003405514	0.007133197	0.012388813	0.8884111	0.088661335
m	0.0002696427	0.00010933623	0.03254886	0.2286963	0.7383759
è	1.0523136e-05	1.45704935e-05	0.00046240792	0.06823742	0.93127507
n	0.14120264	0.17174996	0.00891381	0.2601859	0.41794768
o	4.3965134e-05	0.0018186244	0.035007346	0.6344506	0.32867938
</S>	0.002613472	0.008575867	0.0040335977	0.029465675	0.95531136
