 	dove	aveva	per	stare	non	aveva	</S>
p	0.97975343	0.018437775	0.0015431797	0.00023889236	7.162401e-06	1.4648787e-05	5.0313492e-06
u	0.9643671	0.035354074	0.00027221788	5.6751796e-06	7.53397e-07	2.7168356e-08	7.48416e-08
ì	0.23625696	0.75461763	0.009041182	4.340228e-05	1.9802077e-05	1.7258868e-05	3.7343398e-06
c	0.0053689294	0.8858025	0.10766612	0.00032502352	0.00016558959	0.00026219463	0.000409719
h	0.07024578	0.40980333	0.28957933	0.0895191	0.030081335	0.049188524	0.061582517
e	0.10077802	0.35663787	0.48367915	0.0542673	0.002166729	0.00083625474	0.0016346518
n	0.00021975522	0.14279066	0.8484383	0.0030635232	0.005037186	0.00018081674	0.00026977458
a	0.00027299428	0.26509956	0.59748995	0.12325118	0.0111315185	0.00040480102	0.0023500777
s	0.0013607591	0.05050831	0.9341063	0.0041873935	0.008497773	0.00047774447	0.00086173264
t	3.8310067e-05	0.017463194	0.71669084	0.24327873	0.0151410345	0.0010576503	0.0063303313
a	0.00018923044	0.0025328703	0.43209395	0.42202976	0.059742033	0.02585322	0.05755898
s	0.0064975056	0.011433172	0.54427934	0.066189155	0.24701223	0.02520796	0.09938064
ì	6.414081e-06	0.0005413869	0.4623493	0.465073	0.038150333	0.0064930283	0.02738651
e	0.008373835	0.0017347888	0.016235225	0.06314128	0.65937626	0.10278607	0.14835252
n	0.0029677812	0.00840502	0.18599284	0.253082	0.21724123	0.06814872	0.2641624
ì	2.8492368e-06	0.00013999641	0.036829207	0.80487233	0.0678074	0.036005575	0.054342687
c	0.009771604	0.00036730827	0.00013029955	0.011729392	0.20583223	0.41163167	0.36053747
h	7.3499376e-07	3.8239457e-05	0.01722003	0.4870682	0.14406389	0.21501516	0.13659377
e	4.1288857e-07	1.2164675e-05	0.00017739118	0.052895173	0.05805012	0.3299904	0.55887437
</S>	0.0012278722	0.0027975081	0.0006919789	0.0017663798	0.0098361345	0.07821619	0.90546393
