 	voi	avete	mai	mangiato	il	pasticciotto	</S>
e	0.9892658	0.010109635	0.0004804522	0.00010427176	3.7454767e-05	2.0978775e-06	2.3674905e-07
s	0.6678688	0.32995883	0.0021447313	2.5804264e-05	5.974286e-07	1.0735085e-06	1.9764825e-07
ì	0.2900466	0.6957813	0.013384192	0.00070566905	6.6574066e-05	1.4793721e-05	8.374094e-07
ì	0.013126655	0.98533845	0.0014613227	7.2403e-05	1.1544594e-06	3.1720774e-08	4.504288e-08
s	0.0005585517	0.9321461	0.061639566	0.0053910026	0.00010806587	0.000116304866	4.0307164e-05
e	0.01956383	0.8796544	0.078488514	0.020004617	0.0008926914	0.001301274	9.467078e-05
s	0.008855204	0.27487192	0.6851601	0.029806675	0.001093853	0.00018484806	2.7444285e-05
t	0.0084062	0.19012251	0.6837694	0.10186419	0.010174938	0.0053152363	0.0003476828
a	0.0040420457	0.010750721	0.5952255	0.29106075	0.08288399	0.01102832	0.005008655
f	0.03431565	0.009645209	0.48125866	0.4328479	0.040576354	0.00081343704	0.0005427932
a	0.003989359	0.0076148594	0.78880006	0.15655799	0.024142412	0.017835502	0.0010597619
m	0.090911806	0.013212127	0.055681255	0.7890917	0.050330386	0.00039708434	0.00037569922
è	0.0030565923	0.001237904	0.15895033	0.6201048	0.120217144	0.0888689	0.0075642876
n	0.30107948	0.017360676	0.0079629095	0.62685245	0.04396922	0.0018653382	0.00090989895
a	0.00036638413	0.0002136138	0.22944742	0.47515732	0.12077523	0.16751133	0.0065287417
m	0.0073339585	0.00045003425	0.00018303352	0.26435205	0.70556027	0.010274832	0.011845765
a	0.00247679	0.0008574868	0.0023087543	0.34655964	0.42141667	0.19258583	0.033794884
i	0.06966698	0.0005546152	2.3204038e-05	0.014580337	0.8671391	0.009124813	0.03891098
i	0.004619964	0.0006106462	3.8956452e-05	0.001589355	0.89589214	0.004262666	0.09298624
l	0.03612081	0.004459531	0.00016640729	0.0025412114	0.6563394	0.026175175	0.2741975
p	6.761982e-05	2.099112e-05	2.1445425e-05	0.0006284881	0.04614569	0.86469924	0.08841651
a	1.4292677e-05	2.88687e-05	1.5969164e-05	0.00032110064	0.030857837	0.39006343	0.57869846
s	0.073789895	0.004004515	0.00034318987	0.0045028953	0.14888918	0.23331125	0.5351591
t	8.943091e-07	2.1339988e-06	1.8522406e-06	0.00011248141	0.030425208	0.5760921	0.39336532
i	1.6433812e-06	1.0150101e-06	1.2003619e-06	2.7880746e-05	0.0119027365	0.19340926	0.7946563
c	0.0021654097	0.00013165118	7.299105e-05	0.000184461	0.032272466	0.019468162	0.9457048
c	8.698284e-05	6.689012e-06	4.324587e-06	3.555119e-05	0.008242356	0.46203205	0.52959204
i	0.0018465994	0.00027726966	3.919087e-05	0.0008075509	0.01586982	0.017819181	0.96334034
ò	0.0021257747	0.00018033775	9.13151e-05	0.00043243947	0.025003463	0.04503702	0.9271297
t	0.001001803	0.0010951691	0.00017545263	0.0019710357	0.04287947	0.2667231	0.68615395
t	1.5321915e-05	1.2030323e-05	3.828707e-06	1.0192336e-05	0.0018587229	0.8743017	0.123798154
o	5.5545475e-05	2.9365921e-05	2.5448819e-05	2.9088085e-05	0.002322524	0.37029794	0.62724006
</S>	0.002868856	0.000597288	0.00030195678	0.001178522	0.07088921	0.060027868	0.8641363
