 	dovevo	comprare	il	pane	</S>
ì	0.99052703	0.008892339	0.00030844333	0.00020936364	6.283252e-05
c	0.99891996	0.0010519716	2.2735787e-05	4.2268434e-06	1.2198191e-06
h	0.92482567	0.06965242	0.0023878354	0.00077535264	0.0023586222
a	0.9913755	0.008505512	8.235196e-05	1.07209025e-05	2.583963e-05
n	0.9624524	0.029961709	0.005544357	0.0012708836	0.0007706887
a	0.21292438	0.775597	0.009509448	0.0005123076	0.0014569047
a	0.13871916	0.78005534	0.074249804	0.005028722	0.0019470254
f	0.030931719	0.75532115	0.19356257	0.014276506	0.005908081
o	0.00079503114	0.95615107	0.036820695	0.001704074	0.004529154
r	0.02491816	0.595931	0.36190987	0.013511201	0.0037297832
à	0.0009718	0.6512568	0.121525064	0.04109335	0.1851531
s	0.002057416	0.023769146	0.80650556	0.10151788	0.06615001
o	0.00077126815	0.6882471	0.23340067	0.028057817	0.04952322
t	0.023187583	0.003131258	0.40017638	0.40838158	0.16512315
o	0.00052304764	0.039019316	0.6784972	0.097177766	0.18478282
t	0.019723905	9.9280696e-05	0.04571601	0.6941494	0.24031132
s	0.0010635554	0.002420963	0.283962	0.2641068	0.44844666
o	6.177792e-05	2.1766524e-05	0.007940321	0.5570089	0.43496722
m	0.0017783535	2.3221213e-05	0.002050968	0.6562609	0.33988658
ì	0.07382156	0.00090686703	0.0033153666	0.35304788	0.56890833
</S>	0.042131267	4.402488e-05	0.0017235081	0.50238216	0.45371905
