 	mi	si	gonfiò	il	dito	</S>
m	0.98964053	0.010189675	0.00012774451	2.6517751e-05	9.486112e-06	6.049132e-06
u	0.0057735015	0.97547454	0.018316366	0.00032626427	6.1202765e-05	4.8097783e-05
p	0.0067656613	0.63611054	0.24360934	0.10447474	0.0070939506	0.0019457788
r	0.008059856	0.15728566	0.7999975	0.03188919	0.0011955999	0.0015722491
ì	0.0119769685	0.7076568	0.26170945	0.015979351	0.0017781998	0.0008992556
s	0.00039182167	0.108990125	0.83231306	0.055859484	0.0013508054	0.0010947556
t	0.01376194	0.25652313	0.19242795	0.18698585	0.27848217	0.07181899
i	0.015950002	0.17430344	0.4667252	0.20052372	0.10371631	0.0387813
t	0.0005071696	0.0026671025	0.19503805	0.48387194	0.2454907	0.072425045
o	0.0034776551	0.0006654466	0.057133216	0.64530313	0.16019587	0.13322464
d	0.0025657995	0.0019164773	0.005992171	0.41392437	0.39429122	0.18130988
à	0.007505315	0.0018279357	0.008767257	0.28415793	0.46076077	0.2369808
t	0.0018177159	0.0010907913	0.0033049553	0.6526411	0.124552205	0.21659312
t	6.9205967e-06	2.2419099e-05	0.0008691971	0.081270434	0.7584241	0.159407
i	0.0010565709	3.1271087e-05	0.00023073482	0.09580006	0.15463609	0.7482453
l	0.003802684	0.0006216153	5.5524724e-05	0.0020116093	0.9054267	0.088081904
o	0.0013186804	0.000498318	0.0066730445	0.0019983712	0.20754878	0.7819628
</S>	0.61950254	0.03280902	0.0016972036	0.0040661646	0.031587347	0.31033775
