 	deve	che	entra	da	qui	</S>
è	0.99008197	0.008671018	0.0011494732	6.776271e-05	1.45864615e-05	1.5223719e-05
n	0.888306	0.10481802	0.006090774	0.00029539433	0.00036017518	0.00012961113
g	0.38671616	0.58223295	0.025610872	0.0013133246	0.002485234	0.0016415908
h	0.13030066	0.82942075	0.036193524	0.0009186744	0.0015139066	0.001652516
i	0.19086546	0.77384675	0.031048238	0.0006242893	0.0016115864	0.0020037554
s	0.009035515	0.8272017	0.07805613	0.043809243	0.034460526	0.0074368357
e	0.004021205	0.9236401	0.07067329	0.00091916777	0.0005294479	0.00021681884
n	0.0003585008	0.010986096	0.8740998	0.100060984	0.011251913	0.0032427334
a	0.00013870723	0.10529105	0.846267	0.0375001	0.005523105	0.0052800137
m	0.0054399185	0.008017429	0.5236106	0.29440826	0.12968017	0.03884364
b	0.013668094	0.09769856	0.5625012	0.20368323	0.05818018	0.06426878
i	0.003680371	0.0025381786	0.060565546	0.31298894	0.051919498	0.56830746
a	0.010232862	0.0018942689	0.0155830495	0.52830446	0.40837175	0.03561362
p	0.010364515	0.0009070562	0.036036666	0.48779052	0.36816147	0.09673979
ò	0.0026417146	0.0046512694	0.00640114	0.08209516	0.48215646	0.42205423
t	0.0070814095	0.00029439467	0.00013636026	0.009184348	0.8960756	0.08722789
t	4.4799555e-05	0.000115739786	0.00066356134	0.041636318	0.7647249	0.19281468
ù	2.6701178e-05	4.7285253e-06	2.7238824e-05	0.011902412	0.5489689	0.43907002
</S>	0.010926381	0.0012474076	0.0024849905	0.0072748605	0.15704553	0.82102084
