 	ancora	non	mi	sono	vestito	</S>
a	0.96458054	0.030312397	0.004982254	9.9116456e-05	1.2042231e-05	1.35852815e-05
n	0.9901107	0.0095504755	0.000171119	0.00014828549	8.470355e-06	1.1018248e-05
k	0.9158572	0.0411451	0.04216828	0.00071229885	5.1537845e-05	6.557957e-05
ò	0.761854	0.10730111	0.12884185	0.0018826786	2.347883e-05	9.692386e-05
r	0.008562846	0.47187665	0.37225705	0.14444059	0.0014126522	0.0014501876
a	0.6211654	0.21435091	0.1501695	0.0082044825	0.0040589753	0.0020507998
e	0.0011109003	0.63431144	0.30028772	0.05787615	0.006112377	0.00030145596
n	0.08360948	0.203297	0.36740118	0.332737	0.009196735	0.0037586319
e	0.0021828536	0.28385088	0.6494326	0.049277224	0.0068067866	0.008449657
n	0.00049940107	0.11542832	0.15397812	0.6734564	0.046950467	0.009687233
d	0.0008676305	0.044889946	0.6518304	0.2436444	0.0067499937	0.05201766
ì	2.912493e-05	0.008899964	0.052570894	0.3196894	0.04262456	0.57618606
s	0.00013930844	0.021619482	0.049772013	0.50499624	0.39454976	0.028923249
i	0.00022813857	0.0034776116	0.07100131	0.47463602	0.21804447	0.23261237
m	0.003827636	0.001593142	0.021721918	0.08893518	0.70362073	0.18030143
o	0.0002548794	0.00713702	0.037728306	0.038120795	0.37916937	0.53758967
</S>	0.3242983	0.01058406	0.01649516	0.021067837	0.36209399	0.26546064
