 	questo	muro	vuole	uno	specchio	</S>
c	0.99135244	0.008242222	0.00032545018	7.258549e-05	4.4745984e-06	2.7827327e-06
ì	0.9187075	0.08096599	0.00030748392	1.8289305e-05	1.6939572e-07	4.1345183e-07
t	0.63743275	0.35916203	0.0033516106	2.322804e-05	2.270308e-05	7.648823e-06
t	0.32959282	0.58134085	0.07753488	0.0028137942	0.0006311156	0.0080865575
o	0.7384509	0.2606116	0.00089367	3.8429796e-05	1.6128926e-06	3.819335e-06
t	0.031203397	0.88324165	0.08524845	6.944844e-05	6.195982e-05	0.00017505386
ì	0.067738235	0.8367268	0.08608682	0.00915199	4.76368e-05	0.0002484581
c	0.013345674	0.9514149	0.03496518	6.8242836e-05	4.2002313e-05	0.00016404645
h	0.014484271	0.75840825	0.2074059	0.015417604	0.00048355645	0.0038003188
o	0.51894134	0.47305444	0.007023475	0.0008733761	3.2363212e-05	7.506525e-05
t	0.0024264506	0.807084	0.18846348	0.0009185453	0.00015855963	0.0009489385
è	0.00044498683	0.2268218	0.60534924	0.16322006	0.0012900531	0.0028739322
l	0.030377107	0.34652397	0.5919477	0.0158977	0.008549703	0.006703911
i	0.0001530671	0.015811661	0.7645955	0.1917256	0.008701586	0.019012485
è	0.0079690255	0.0165453	0.92586446	0.020835357	0.010988198	0.017797656
n	0.0036485244	0.00055660604	0.11892282	0.6488425	0.042969327	0.18506017
a	5.3192225e-06	0.00010723797	0.12965485	0.79701465	0.040203024	0.033014897
n	0.036249034	0.001856585	0.0073063746	0.3377356	0.26564085	0.35121155
j	2.0748854e-05	1.9189734e-05	0.001872982	0.86062497	0.062491804	0.07497028
a	0.015823714	0.0010676348	0.0016137771	0.29621023	0.07037274	0.6149119
l	0.012347069	4.8018424e-05	3.1038526e-05	0.009301428	0.9253994	0.052872967
ì	8.4191495e-05	7.556657e-05	0.0016383912	0.606419	0.12382863	0.26795417
</S>	0.010726957	0.0006702928	0.0003100294	0.0014699609	0.5939721	0.39285073
