 	quando	è	arrivato	Giovanni	Anna	stava	ancora	cucinando	</S>
m	0.9853071	0.012343919	0.001269399	0.000914271	0.00015844184	2.5139561e-06	4.1050816e-06	1.0385881e-07	1.13820995e-07
ò	0.78673875	0.18664233	0.025794925	0.00069836585	0.00011958591	4.384666e-06	1.584484e-06	1.9055577e-08	9.169988e-08
t	0.95822144	0.030697465	0.011017434	6.313791e-05	2.5438348e-07	1.982925e-07	4.098097e-08	1.2883902e-08	1.8024656e-08
t	0.0651374	0.25248915	0.64526016	0.03339089	0.002943006	0.0007045373	2.0836513e-05	1.6916483e-06	5.2298725e-05
e	0.010727526	0.94984573	0.024639118	0.011654578	0.0030504188	3.9183822e-05	4.106453e-05	8.182505e-07	1.5602079e-06
è	0.02852047	0.8413985	0.12766321	0.0024087555	6.870179e-06	1.7479878e-06	3.29589e-07	9.783153e-08	7.633192e-08
s	0.002288303	0.679327	0.3074303	0.010897396	4.3335516e-05	1.0675379e-05	2.2101606e-06	2.2742951e-07	5.926794e-07
t	0.001637706	0.5169832	0.43776384	0.034834556	0.00761673	0.0010847419	4.6188703e-05	1.2032799e-06	3.1801967e-05
a	0.00066994375	0.8707057	0.08119079	0.023960523	0.02283409	0.00020069601	0.00040051274	1.1986088e-05	2.5765146e-05
s	0.0019759904	0.3018646	0.4962422	0.19857952	0.0011807778	0.00013101561	2.0760483e-05	1.4980913e-06	3.68789e-06
e	5.5827045e-06	0.58894616	0.20294085	0.10159345	0.103683785	0.0018678375	0.0008419212	7.950605e-06	0.00011245889
o	0.024405349	0.06281273	0.21330956	0.69177973	0.0068454817	0.0007108958	0.000114647664	5.446361e-06	1.614108e-05
G	0.032040775	0.009262628	0.08732291	0.8622688	0.007814608	0.001107129	0.00015971427	4.782697e-06	1.8571236e-05
i	2.2949984e-05	0.040937304	0.3711502	0.29288468	0.28147727	0.006014098	0.0067611616	0.00013978995	0.0006126422
