 	è	che	sono	usciti	</S>
è	0.9879359	0.011376327	0.00018525952	0.00041098698	9.156399e-05
n	0.45510566	0.47389528	0.058674023	0.010332903	0.0019921476
a	0.31629297	0.65983826	0.020192973	0.0006034272	0.0030724066
g	0.01810254	0.5545125	0.14056017	0.23012471	0.056700096
u	0.0020309312	0.710613	0.28549787	0.0012418102	0.0006163878
ì	0.0002187034	0.02420108	0.20490856	0.7527034	0.017968189
k	0.0002402826	0.0049118795	0.34168983	0.07485777	0.57830024
a	0.0001791642	0.0048477165	0.08006132	0.8241723	0.090739526
n	0.008568969	0.0045515397	0.046925332	0.22468884	0.71526533
e	0.000593867	0.002496942	0.21852888	0.35212296	0.42625737
</S>	0.116495065	0.003636971	0.021772498	0.12062087	0.73747456
