 	da	da	un	famoso	poeta	</S>
p	0.9814208	0.01606344	0.0013037589	0.0011792947	2.5793732e-05	6.916872e-06
u	0.77471256	0.22351114	0.0016965705	7.7522396e-05	1.1827315e-06	9.776057e-07
s	0.33156547	0.51448965	0.15155642	0.0021545687	0.0001741841	5.968013e-05
s	0.008053235	0.954818	0.030976946	0.0059777997	5.6254747e-05	0.00011777525
è	0.030543676	0.91877705	0.04218966	0.00830568	8.494964e-05	9.885015e-05
n	0.008248471	0.49197605	0.45020586	0.047583558	0.0012377491	0.0007483838
a	0.0044160555	0.5174901	0.3907379	0.07092509	0.008463272	0.007967563
f	0.0043640286	0.13807468	0.5367376	0.296463	0.013481155	0.010879551
a	0.020604344	0.21117651	0.5638601	0.15969014	0.013982075	0.030686803
m	0.012905245	0.0054329718	0.31295362	0.6031321	0.032618027	0.03295803
ò	0.0026294168	0.009686621	0.09686311	0.65314025	0.067193605	0.17048697
s	0.018527221	0.0063111065	0.017010884	0.7576558	0.08676552	0.11372947
o	0.00070625957	0.0015360008	0.039594796	0.543693	0.15814146	0.25632837
p	0.004020794	0.00032357982	0.0013116375	0.21310109	0.3789786	0.40226427
o	0.0001945389	0.00027601022	0.0004067451	0.14356929	0.25806293	0.59749043
è	0.044699278	0.00027262923	0.0004812038	0.0071284664	0.53857416	0.40884426
t	0.0015158615	0.00023807205	0.0013845687	0.010329044	0.5958964	0.39063597
a	1.8470054e-06	3.5970472e-06	0.00013612094	0.018161936	0.7350904	0.24660607
</S>	0.007187333	0.0007798529	0.0013049223	0.000979882	0.32695708	0.6627909
