 	vengono	vestiti	</S>
è	0.9814092	0.015774809	0.002816043
r	0.9948861	0.0046339314	0.00047997656
k	0.3923224	0.16870157	0.43897608
u	0.6801636	0.25722295	0.0626134
t	0.41624823	0.51567024	0.06808149
t	0.072436646	0.813354	0.11420935
e	0.26879257	0.68984354	0.041363895
n	0.016134871	0.92081314	0.063051976
d	0.01462405	0.7398489	0.24552707
i	0.0025443563	0.39694914	0.6005065
m	0.073235	0.7199009	0.20686406
è	0.010839718	0.17691644	0.8122439
n	0.08271093	0.31577414	0.60151494
a	0.00013175458	0.9550286	0.044839665
</S>	0.14976849	0.046867687	0.80336386
