 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.9192994	0.080386885	0.0002768078	1.9983356e-05	1.4750607e-05	1.5412244e-06	4.6435008e-07	1.5212993e-07	2.5829832e-08	6.0762657e-09	1.3358711e-09	1.0944587e-09	7.561224e-10
n	0.016898401	0.8828434	0.09726696	0.002969751	1.7214485e-05	2.9509804e-06	1.0707912e-06	1.5522444e-07	1.4812734e-07	1.4579406e-08	6.8171793e-09	1.0773293e-08	2.4442377e-08
ì	0.008675902	0.80193996	0.18452562	0.0043073012	0.00042153083	8.538722e-05	2.7802505e-05	1.1863386e-05	4.1992403e-06	4.0312648e-07	7.5525215e-08	2.2161448e-08	1.312001e-08
c	0.0004469575	0.21303923	0.7321761	0.052615777	0.0014711675	0.00024568333	3.409827e-06	1.1392444e-06	5.1824816e-07	3.665771e-08	3.6917376e-09	7.531744e-10	3.5011722e-09
h	0.06370709	0.4510387	0.465326	0.017830301	0.0013397158	0.00051710376	0.00014462805	5.37759e-05	3.0603496e-05	7.4932323e-06	2.4526182e-06	1.6372585e-06	5.1302015e-07
a	0.052225746	0.42471987	0.48823622	0.027754242	0.004407104	0.0015020865	0.00071314175	0.0003179934	9.216932e-05	2.2046797e-05	6.7052974e-06	1.95973e-06	6.2122507e-07
n	0.00033654374	0.005820628	0.8572667	0.1354591	0.0009594895	0.00012798134	2.2872928e-05	4.069679e-06	1.9397798e-06	3.1898296e-07	9.4521944e-08	5.922234e-08	1.523273e-07
d	0.00019650014	0.019554311	0.8816135	0.0918051	0.0047294926	0.0011755103	0.00061382144	0.00020694821	9.560819e-05	6.6478624e-06	1.259132e-06	6.5641893e-07	5.67754e-07
ì	0.021255264	0.004772509	0.06497	0.40881586	0.3655833	0.08067484	0.029121073	0.018184127	0.004446915	0.0013281044	0.00048297673	0.0001943283	0.00017075973
s	0.00032573726	0.0013420034	0.050697736	0.8415902	0.08790161	0.016703088	0.0010611592	0.0003397215	2.7378721e-05	1.0052291e-05	6.780985e-07	5.8956566e-08	5.661879e-07
o	0.0008995455	0.005879411	0.47256973	0.44464788	0.051600993	0.01767403	0.0046476447	0.00093939545	0.0009794786	0.0001026239	1.6646314e-05	2.5408948e-05	1.7146871e-05
n	0.0009636795	0.00088840735	0.008380809	0.63130945	0.31710073	0.035994332	0.004682373	0.00060929917	4.564378e-05	2.1673919e-05	1.3712088e-06	3.5855706e-07	1.8494246e-06
t	0.0005269619	0.00044220022	0.06371942	0.65658915	0.18330894	0.0542431	0.028698007	0.008078834	0.0039110268	0.0003276996	5.910195e-05	5.6787725e-05	3.88075e-05
a	0.008746911	0.00014828552	0.0004481932	0.07741463	0.5749723	0.1864331	0.08883523	0.04812958	0.011784002	0.0020317663	0.00049261306	0.00017232123	0.00039108214
i	0.0070309346	0.0029711057	0.0011807315	0.026202984	0.7172418	0.21314214	0.025505152	0.005923871	0.0005563797	0.00022409947	1.1474849e-05	1.3741686e-06	7.878092e-06
k	0.007214456	0.0008522546	0.00019061126	0.0053880177	0.51304364	0.40117043	0.04696921	0.019782988	0.0038643277	0.0013893296	9.478363e-05	3.6235826e-06	3.6350062e-05
i	0.006249079	0.0026748336	0.0034415117	0.064771794	0.4936254	0.21859626	0.12959653	0.050375197	0.021718027	0.0043628933	0.0015229961	0.0020234848	0.0010419663
a	0.16246313	0.0062628514	0.000118557604	0.0020516766	0.40337044	0.38721806	0.030546797	0.006767974	0.00093069446	0.00024813775	1.3382745e-05	1.6525634e-06	6.6712855e-06
t	0.0029269254	0.00031059576	5.564038e-05	0.0002773369	0.12995984	0.6606943	0.13140716	0.05222361	0.01627144	0.005341393	0.00038937008	1.8742461e-05	0.00012361251
è	0.0013647239	1.3107796e-05	1.1931963e-05	0.00035476903	0.09909734	0.3902026	0.30271864	0.1252168	0.06096169	0.011686943	0.004077967	0.0023379547	0.0019555406
r	0.05846983	0.00041052242	9.557748e-06	5.3191932e-05	0.028033376	0.59817797	0.20808442	0.068438195	0.031279664	0.005958311	0.0007586551	0.00010440191	0.00022188474
a	2.9545121e-05	6.777227e-05	0.0001488479	0.0050773374	0.23085377	0.43481278	0.19076385	0.061137207	0.0558599	0.010283055	0.0029102522	0.0057793334	0.0022763936
m	0.0019766942	0.00028487737	4.0731273e-05	7.487285e-05	0.009908348	0.2980936	0.38543853	0.24340785	0.040691655	0.01823829	0.0012042106	0.00010108042	0.00053922745
u	0.0026242468	0.000108207816	0.00022715371	0.0008662286	0.008140372	0.10286612	0.41390657	0.30977	0.13201798	0.017922837	0.0042330404	0.004032606	0.003284644
t	0.017851401	0.0045338473	4.175537e-05	1.766106e-05	0.00047937944	0.055842187	0.5137704	0.30315548	0.056926474	0.042897966	0.0020144708	0.00015490732	0.002313963
i	0.0009111237	1.3499029e-05	4.985623e-06	1.3208879e-05	0.0013394707	0.12176741	0.49358287	0.15163104	0.19029316	0.019845592	0.006267544	0.0067365444	0.007593498
n	0.00018945956	6.562637e-05	7.621041e-06	1.5779859e-05	0.00034293806	0.018568331	0.20048751	0.26074913	0.36984757	0.12539978	0.017278101	0.0012546019	0.0057935244
ì	0.00032231666	8.20324e-06	3.5639214e-06	8.515309e-06	0.00018353808	0.014319789	0.2291752	0.23102376	0.31618184	0.08868144	0.04719845	0.043151516	0.029741863
c	0.0027187478	0.0003746589	1.7000724e-05	3.4967154e-05	0.00027228825	0.003118005	0.035985097	0.09563739	0.65176535	0.11864029	0.06445884	0.0096359495	0.017341418
h	3.6417205e-06	2.1483058e-06	3.105166e-05	7.801192e-05	0.00085937814	0.028777903	0.11637048	0.22787929	0.25051522	0.18154195	0.089981616	0.07080029	0.03315894
a	5.8751325e-06	7.1249833e-06	1.681047e-05	3.0840794e-05	0.00014162487	0.0005149529	0.015199248	0.2532259	0.11218671	0.26287517	0.15969446	0.10221946	0.09388186
p	0.00012659455	0.00020474539	3.9684743e-05	8.263615e-05	0.00048538743	0.0023142719	0.018971879	0.12182721	0.05383351	0.6189304	0.10457746	0.012710931	0.06589532
à	0.003266424	0.00020371741	7.136751e-05	3.9726016e-05	0.00017920721	0.0015298184	0.015413531	0.0706114	0.12533484	0.26548067	0.14238264	0.1837553	0.1917313
