 	viene	fabbricato	</S>
è	0.92723	0.07162356	0.0011464757
r	0.96240634	0.036761485	0.0008321647
k	0.6702912	0.067014925	0.2626939
e	0.76501715	0.14012092	0.09486193
t	0.13781998	0.54490566	0.31727433
e	0.40417808	0.281906	0.31391594
f	0.002015665	0.93628323	0.06170112
a	0.019423401	0.3644023	0.6161743
b	0.0036470063	0.9005581	0.09579496
b	0.007932006	0.3711362	0.62093186
r	0.00026111808	0.6175563	0.3821826
i	0.00047884847	0.8097672	0.18975398
k	0.2842026	0.108077824	0.6077196
à	0.0029246118	0.53867567	0.45839968
t	0.017081527	0.019006914	0.96391153
o	0.00016579438	0.924797	0.07503722
</S>	0.37488627	0.022617549	0.6024962
