 	Marika	tu	hai	mangiato	</S>
M	0.9826299	0.011475995	0.0019283602	0.0027218005	0.0012440626
a	0.82262903	0.16384101	0.012175774	0.000630304	0.0007239915
r	0.8861066	0.077393614	0.027613867	0.006775186	0.0021108848
ì	0.077044286	0.8686039	0.039556425	0.008423077	0.00637235
k	0.0005963232	0.65060794	0.3316879	0.009040345	0.008067418
a	0.024939375	0.20944786	0.14477172	0.34566528	0.2751758
e	0.002649277	0.3020645	0.6471701	0.03573638	0.012379731
s	0.008687438	0.31843862	0.40468463	0.23025449	0.037934806
ù	0.00072388933	0.2651392	0.26939544	0.15443487	0.31030658
è	0.00084534864	0.0018073282	0.06590417	0.7887768	0.14266634
f	0.002403059	0.000450591	0.0007471513	0.81174594	0.18465322
e	0.000339084	0.00056674646	0.0055760057	0.4705738	0.52294433
</S>	0.027756557	0.0032479665	0.0018861176	0.2325633	0.73454607
