 	non	aveva	cosa	a	fare	</S>
e	0.9782518	0.021725385	1.7039296e-05	1.0612483e-06	1.2736582e-06	3.5482287e-06
n	0.8759082	0.11118392	0.012006719	0.0005432269	0.00025466483	0.00010321487
ì	0.17113057	0.8251109	0.0036675055	4.31942e-05	8.189939e-06	3.9727827e-05
c	0.02000575	0.74531794	0.21803932	0.00650875	0.008222073	0.0019062958
h	0.08272192	0.87704605	0.035051007	0.0010412016	0.000799475	0.0033403046
e	0.14991441	0.7810396	0.062358476	0.0020712467	0.0012169894	0.0033993316
t	0.0007049774	0.0087319035	0.8432597	0.07122115	0.055422142	0.020660179
i	0.017050227	0.029493265	0.77640444	0.07642992	0.016907524	0.08371464
k	0.019603767	0.05999236	0.15020542	0.47859696	0.11595684	0.17564462
à	0.019767506	0.030288	0.075102046	0.28257877	0.101103656	0.49116
m	0.12634525	0.006916253	0.0007521879	0.11925935	0.64967227	0.09705467
i	6.493253e-05	0.00017723494	0.00418104	0.16162632	0.15616539	0.67778504
</S>	0.04869006	0.22045036	0.0020962064	0.02564098	0.2387616	0.46436083
