 	lo	ho	finito	di	fare	</S>
t	0.99276924	0.007215004	8.96447e-06	2.4494552e-06	7.413943e-07	3.5174137e-06
o	0.83907014	0.1604212	0.00048234427	1.6113356e-05	1.5606053e-06	8.642584e-06
s	0.024828903	0.92541486	0.049143795	0.00028895956	5.7237055e-05	0.000266248
p	0.1807308	0.800684	0.018239763	0.00020852665	1.6488933e-05	0.000120435434
ì	0.012817275	0.92485785	0.061338052	0.00051417726	9.215491e-05	0.00038039597
c	0.000498447	0.11243057	0.87505543	0.009723908	0.0017018021	0.0005897807
c	0.0062584304	0.06375659	0.8490111	0.026099509	0.011919691	0.042954575
e	0.82334477	0.012361931	0.11180602	0.030040683	0.0038233076	0.018623214
t	7.439149e-05	0.0007319068	0.9578768	0.03430403	0.0038895197	0.0031234056
s	0.0009945139	0.0066892058	0.8976254	0.06232074	0.006870777	0.025499322
a	0.07405866	0.00030988254	0.16890776	0.3470631	0.13290179	0.27675876
a	0.012468048	0.004941318	0.03941564	0.7028779	0.087058656	0.1532385
t	0.030953081	0.0033817154	0.010895115	0.6288356	0.10532205	0.22061242
s	0.000911495	3.5277775e-05	0.0074751102	0.48231423	0.13871084	0.37055302
è	0.00014084547	1.8306944e-06	2.077982e-05	0.2428995	0.42775577	0.32918128
k	0.0051676044	0.0019445757	0.0029999327	0.040437806	0.3524888	0.5969613
à	4.607678e-06	9.975519e-05	0.0118580125	0.2561339	0.14256	0.5893437
m	0.003094206	0.00079579843	0.000865784	0.013517489	0.38842812	0.5932986
i	1.3093295e-05	9.130003e-05	0.0034694558	0.016523143	0.14807685	0.83182615
</S>	0.02013718	0.004670464	0.0014364977	0.01327075	0.49617034	0.46431473
