 	mia	figlia	vuole	andare	</S>
i	0.98859125	0.011302427	6.753652e-05	3.0483858e-05	8.20271e-06
k	0.9949418	0.004975484	6.458853e-05	1.019033e-05	7.783137e-06
i	0.613224	0.38000274	0.0061671124	0.00019919987	0.00040692225
a	0.7226679	0.27523187	0.0020309058	5.8705875e-05	1.0651586e-05
t	0.0390289	0.95825225	0.0025025946	0.00018959645	2.6637375e-05
è	0.13184153	0.8489673	0.016957508	0.0010009801	0.0012326823
r	0.037405666	0.88157153	0.07498236	0.004741264	0.0012991027
a	0.005477386	0.9738927	0.01730885	0.0015823885	0.0017388108
m	0.019950915	0.6400894	0.30917636	0.020009698	0.01077372
u	0.04521637	0.47768462	0.43141916	0.014049829	0.031630028
i	0.005181418	0.032209232	0.88703066	0.05859494	0.016983666
t	0.0048646973	0.0062763835	0.7642672	0.14885655	0.075735115
è	6.804292e-05	0.0020170214	0.7376825	0.13677493	0.12345749
l	0.0048703672	0.0011164249	0.5076496	0.43879268	0.04757098
i	5.946521e-05	0.0039326753	0.69234	0.18366803	0.11999978
n	0.005263778	0.0002761004	0.016121283	0.69640094	0.2819379
a	3.2076656e-05	0.00054462877	0.09942517	0.49663016	0.40336797
p	0.0027806622	7.8288205e-05	0.0020804638	0.7133732	0.28168735
à	9.0182555e-05	0.0003948294	0.0039680535	0.4199506	0.5755963
i	0.028984943	0.0012396411	0.0041943556	0.6994484	0.26613265
</S>	0.016259238	0.0005167899	0.0024997492	0.2902441	0.69048005
