 	non	mangiare	la	sera	</S>
m	0.9959131	0.0037049567	4.565335e-05	0.00027121985	6.505639e-05
i	0.013818967	0.917791	0.06512778	0.0016314656	0.0016307345
f	0.18626611	0.589711	0.057265516	0.15280041	0.013956907
a	0.0071939747	0.34217554	0.6319267	0.0031757394	0.015527978
i	0.011242245	0.52696425	0.390081	0.06262055	0.009092031
o	0.00029811176	0.02505145	0.8278703	0.13839713	0.008383038
v	0.0019561097	0.0039133406	0.082435876	0.89963377	0.012060941
r	0.0010445913	0.009261723	0.6624865	0.04657151	0.28063565
à	0.0010522037	0.00031751764	0.04091196	0.30323052	0.6544878
i	0.011815327	0.0038385943	0.032374077	0.7195032	0.23246883
</S>	0.001305928	0.0010098236	0.012815225	0.74919266	0.23567648
