 	tu	le	hai	cucinati	le	verdure	</S>
e	0.9868166	0.010835321	0.0013409323	0.0009849572	7.8031335e-06	1.313412e-05	1.1554802e-06
s	0.72529405	0.24534331	0.020595897	0.008645726	8.3449304e-05	1.9967811e-07	3.745969e-05
ù	0.73089254	0.2322888	0.021268228	0.01489924	0.00061960303	2.08183e-05	1.0692699e-05
t	0.21611226	0.70967674	0.0606788	0.013309611	9.7599805e-05	1.3064388e-07	0.00012477445
a	0.5434205	0.42296755	0.01234967	0.017590076	0.0022484073	4.9571943e-05	0.0013742894
m	0.0051794755	0.75712365	0.14355539	0.09096507	0.0023251725	2.7659557e-06	0.0008485372
à	0.018633803	0.77156454	0.1194364	0.08621769	0.0038809504	0.00022584906	4.0799587e-05
r	0.008536906	0.292035	0.5206109	0.16404489	0.008051219	3.859226e-05	0.0066824723
e	0.004399747	0.4140382	0.118091844	0.3041984	0.11771331	0.006875055	0.03468341
t	0.002730298	0.019230805	0.09238387	0.5362801	0.24185112	0.00020843897	0.10731546
s	7.414232e-05	0.00148144	0.12653351	0.5631196	0.24816741	0.04879297	0.01183095
e	0.00029454147	0.00026780277	0.06799097	0.6098239	0.23939192	0.053097922	0.029132882
t	0.01310828	0.0008626937	0.004117012	0.05126532	0.5586421	0.0016148043	0.37038982
a	6.624495e-05	3.4022993e-05	0.00535386	0.17305852	0.44881672	0.34313068	0.02953995
l	0.04250837	0.0005137811	0.00073628884	0.005972338	0.35785994	0.01372702	0.57868224
à	7.701036e-05	1.3489643e-05	0.00030246476	0.02929261	0.30595994	0.62478596	0.03956847
c	0.019789899	0.00020136252	0.00011580802	5.5417964e-05	0.024061657	0.0028624039	0.95291346
h	1.0496296e-05	1.2157584e-05	5.803512e-05	0.004904205	0.20549461	0.75379795	0.03572255
a	1.3002268e-06	8.06932e-07	1.7497341e-05	0.00017958127	0.035400033	0.9316324	0.032768417
n	0.0275951	0.0016809633	0.0010005359	0.00064822735	0.03536698	0.05518612	0.87852204
a	3.5713165e-05	7.4842587e-06	1.9803265e-06	1.21743615e-05	0.0043628556	0.976577	0.019002706
</S>	0.77759147	0.016446281	0.00312361	0.001844947	0.0037966634	0.119573206	0.07762396
