 	qui	ancora	stanno	con	la	luce	accesa	e	stanno	svegli	</S>
e	0.9873483	0.011184431	0.0011011667	0.00016429483	0.00017794756	2.2775721e-05	8.9264995e-07	1.08869884e-07	2.4990284e-08	5.1820443e-08	2.6428854e-08
t	0.97183484	0.027419088	0.0006887605	4.760957e-05	8.262036e-06	8.8111403e-07	6.123109e-07	5.995987e-08	2.3277552e-08	1.0990506e-08	2.0588812e-08
t	0.7827685	0.20916219	0.007155806	0.00054527685	0.00025923198	0.00010203015	4.581696e-06	1.86094e-06	2.9778758e-07	2.0290312e-07	9.662457e-08
ù	0.5105537	0.3941451	0.060399365	0.018291844	0.014190448	0.0021940218	0.00019505578	2.3238088e-05	1.8976008e-06	1.6485053e-06	3.6894303e-06
a	0.11572019	0.8642005	0.019515643	0.0005157702	3.9647333e-05	5.6068766e-06	1.9762301e-06	3.9510357e-07	1.1978904e-07	9.793116e-08	2.1212502e-07
n	0.016183378	0.81984675	0.16106617	0.0026498248	0.00022899813	1.1812036e-05	9.64107e-06	2.3538971e-06	5.523493e-07	2.263236e-07	3.12525e-07
k	0.012567607	0.76291263	0.16571997	0.030298	0.017798353	0.010142753	0.0003813959	0.000113316346	2.6538379e-05	2.8281656e-05	1.108263e-05
ò	0.0042839064	0.3194886	0.34486595	0.2091566	0.09895842	0.021506997	0.0012384828	0.00027223612	7.864918e-05	7.9573234e-05	7.056255e-05
r	9.769079e-05	0.13881862	0.8232206	0.0341562	0.0023488132	0.0013276037	2.4722442e-05	3.7853301e-06	2.9852083e-07	1.1104402e-06	5.353524e-07
a	0.00034250796	0.8869002	0.10548203	0.0052012894	0.001155718	0.0008843178	1.8934386e-05	6.8932172e-06	1.4195523e-06	4.7693948e-06	1.9720792e-06
s	0.0017954995	0.08023117	0.70191014	0.17017244	0.03859464	0.0065505225	0.00069487636	3.547631e-05	2.0102168e-06	4.1524713e-06	9.085613e-06
t	8.226055e-05	0.36749014	0.45720714	0.088276565	0.054862946	0.02997221	0.0013175879	0.0005564332	0.0001000656	5.3775402e-05	8.0952785e-05
è	1.0567254e-05	0.0007781194	0.19639775	0.27779877	0.43222365	0.08465736	0.005067109	0.0018817142	0.00037884773	0.00025621898	0.0005499222
o	0.003316411	0.004226221	0.22492625	0.55569637	0.1879761	0.021700535	0.0019919476	0.000118959535	6.9798275e-06	1.7371372e-05	2.27886e-05
n	0.002047228	0.00023729548	0.03135265	0.4349766	0.48487538	0.029155599	0.016049817	0.0011212236	7.7809265e-05	2.3703229e-05	8.277526e-05
m	6.756574e-06	0.00023422827	0.09640486	0.31598693	0.389257	0.17568496	0.014113122	0.0043357345	0.0014824166	0.0017014511	0.0007924928
o	2.0701898e-06	1.4452786e-05	0.0013374509	0.2735265	0.527123	0.17756052	0.011172334	0.0053589186	0.0012176422	0.00060649466	0.0020806356
l	0.011767507	0.00031534932	0.0008868084	0.07626453	0.87725127	0.019306246	0.013172536	0.00082199526	3.302712e-05	2.3403347e-05	0.00015736267
ì	2.2583346e-05	0.0012111777	0.016115805	0.3782129	0.3252213	0.25734583	0.011327861	0.0049645826	0.0019765082	0.0021028945	0.0014984888
m	0.013164644	0.0017290682	0.0041119824	0.24160792	0.52236354	0.20675716	0.00876451	0.00080468744	7.321367e-05	0.00047370553	0.00014959394
o	6.314554e-06	7.9099635e-05	0.0064016106	0.30484188	0.20897008	0.3569502	0.074816264	0.019835096	0.017861828	0.006439218	0.0037984105
a	0.004754233	2.4512403e-05	5.1045765e-05	0.007719481	0.6659027	0.13826981	0.16886988	0.01229671	0.00074682996	0.00030122272	0.0010634869
n	0.0006699897	4.4666913e-06	1.2652542e-05	0.0010773862	0.28096175	0.037837096	0.61412656	0.05592638	0.004294123	0.000833229	0.0042562876
a	2.2077513e-05	1.6974362e-05	3.4251567e-05	0.0044005606	0.48887682	0.103733905	0.21705863	0.086328596	0.036799017	0.039532557	0.023196634
