 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a	0.9398801	0.060054205	4.69782e-05	9.024219e-06	8.587852e-06	1.0035386e-06	1.2747883e-07	2.2171859e-08	3.000509e-09	2.386777e-09	1.3688525e-09
n	0.038404018	0.9197006	0.041621782	0.00026697776	5.6543236e-06	5.814596e-07	3.2455947e-07	3.960559e-08	1.0915298e-08	1.7528977e-08	2.8435846e-08
ì	0.02010308	0.9164211	0.062610544	0.0006188872	0.00019026334	4.1477964e-05	1.3458401e-05	1.0011458e-06	1.2276647e-07	3.5259426e-08	1.7832246e-08
c	0.0010430156	0.9131509	0.075879775	0.009884265	3.0100346e-05	9.045099e-06	2.6858988e-06	2.0935873e-07	1.1400861e-08	1.6169891e-09	6.2766334e-09
h	0.20530127	0.42171067	0.36666366	0.0049499096	0.0010906056	0.00017764859	8.41227e-05	1.531144e-05	3.478572e-06	2.6237387e-06	7.1272706e-07
e	0.2355067	0.28251562	0.4630634	0.009267704	0.008008079	0.0013131368	0.0002666792	4.4687265e-05	9.616454e-06	3.3215708e-06	1.0669562e-06
n	0.00043044615	0.008280771	0.95537966	0.035461467	0.00035747298	7.187333e-05	1.3442304e-05	3.941743e-06	4.857667e-07	1.3019374e-07	2.7316614e-07
d	0.00047771606	0.03788951	0.9109089	0.03328885	0.013780696	0.0024770952	0.0010949471	6.679584e-05	8.587702e-06	4.3262426e-06	2.7003673e-06
ì	0.06476617	0.004241529	0.56637084	0.18882513	0.12879935	0.036862414	0.008034313	0.0014493361	0.0003632457	0.00016421241	0.00012350942
s	0.00054937374	0.0017937955	0.6555352	0.32666698	0.011510438	0.0037016955	0.00016563313	7.252557e-05	2.7560052e-06	1.8277534e-07	1.4274506e-06
o	0.002431296	0.0055552754	0.72229195	0.19759455	0.059611484	0.0077027315	0.004248582	0.0004390866	5.032394e-05	4.7472397e-05	2.7268903e-05
n	0.0013738228	0.0075088767	0.14970966	0.7757667	0.059194658	0.006071623	0.0002346467	0.00013140927	4.6274636e-06	6.749657e-07	3.2971477e-06
t	0.0008658759	0.0025376005	0.26943716	0.3913549	0.27259344	0.04491977	0.016654987	0.0012500414	0.00017305583	0.00012624428	8.689785e-05
a	0.00653649	0.0014649143	0.0024152445	0.23084371	0.55964404	0.15446086	0.038028035	0.004788624	0.0009246626	0.0002754651	0.0006178985
i	0.0121899145	0.02656073	0.010304896	0.54915285	0.3290237	0.067726046	0.003351421	0.0016193081	4.7618716e-05	3.6447827e-06	1.9892694e-05
k	0.0119202975	0.011163462	0.0013240936	0.31771293	0.43078363	0.18627325	0.026604466	0.013552293	0.00051859225	1.2515003e-05	0.00013447813
