 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
s	0.9353493	0.064457	0.00017569169	1.4442489e-05	2.6470982e-06	7.6543415e-07	1.2422771e-07	8.569488e-09	4.813708e-09	2.513883e-09
i	0.16013537	0.77694976	0.06259308	0.00027957442	3.536134e-05	5.1100787e-06	1.2978579e-06	1.6773976e-07	1.1433884e-07	1.5639209e-07
i	0.0020575996	0.6388816	0.35722405	0.0018048431	2.7902897e-05	3.922008e-06	1.1577054e-07	4.1442263e-09	9.19335e-09	7.8714875e-09
p	0.002093239	0.29353577	0.6495647	0.054092277	0.0005833461	0.00012826775	2.2662844e-06	1.1807358e-07	4.837645e-08	3.998038e-08
à	0.0253035	0.26359487	0.58238304	0.11028246	0.01683175	0.0010735067	0.00048580376	3.2059652e-05	4.470268e-06	8.564104e-06
s	0.00048448617	0.02928701	0.9266767	0.03909048	0.004184797	0.00019576588	7.9322206e-05	8.3453597e-07	3.2568983e-07	3.3920622e-07
t	0.022436123	0.06295308	0.866052	0.0355863	0.012188663	0.0005274853	0.00021885143	8.741694e-06	1.9624536e-05	9.036766e-06
a	0.0930642	0.23029502	0.5345147	0.103798196	0.034774322	0.0022404643	0.0012536682	2.7817052e-05	1.849382e-05	1.3134783e-05
ì	0.0008737588	0.009116301	0.09046898	0.8163629	0.07047035	0.011940123	0.0007516861	5.7246866e-06	3.986696e-06	6.2698778e-06
c	0.007146414	0.004632109	0.10277895	0.7419532	0.12232524	0.018925117	0.0020316888	7.471535e-05	6.1943276e-05	7.061021e-05
h	0.0009650479	0.0003756587	0.21149202	0.39398333	0.33636266	0.03578232	0.011930995	0.0048798835	0.0028974959	0.0013305728
e	0.113436885	0.0014887168	0.009865135	0.2891893	0.4605657	0.07635471	0.04064336	0.005207115	0.0017853497	0.0014637674
t	0.004403146	0.0029686678	0.0015445638	0.34854454	0.49482873	0.13905735	0.008460372	6.62842e-05	4.7556267e-05	7.8850724e-05
e	0.00095711375	0.00012641778	0.00019793358	0.46820956	0.47411147	0.03742286	0.01673989	0.0014820335	0.0003563066	0.0003963607
l	0.006002582	0.00086615875	9.6427175e-05	0.13386358	0.46352836	0.37454978	0.020460939	0.0003938578	6.171811e-05	0.0001765632
ì	0.003926178	0.0017747137	3.917011e-05	0.106594026	0.72731483	0.10404379	0.040062066	0.009158407	0.0041214484	0.0029654158
s	0.17873026	0.0057034474	0.00020477714	0.029336566	0.6187855	0.14137313	0.025325468	0.00030000802	0.00013834207	0.00010243618
o	9.596098e-05	4.6374236e-05	0.00023202958	0.10372696	0.7690377	0.08147207	0.03417171	0.0061534867	0.0028823405	0.002181285
n	0.001675711	0.00018066191	3.0426747e-05	0.0012118078	0.31306583	0.59884036	0.08249292	0.0014518455	0.0003087098	0.00074168143
t	0.0001504411	3.3545018e-06	1.5472698e-06	0.015568584	0.65036136	0.2016917	0.10117352	0.01987579	0.0064257295	0.0047480413
a	0.00014138338	3.3121628e-06	2.3455982e-07	0.0024324348	0.15196392	0.46869826	0.2783967	0.052605953	0.015310226	0.030447615
à	0.00029603587	6.0434264e-05	1.0634452e-05	0.00042924605	0.053752504	0.6818352	0.25503528	0.004942734	0.0009885769	0.0026493308
l	0.0002953317	2.0104284e-05	0.00012221019	0.00042564358	0.009924681	0.5853418	0.32310206	0.050152645	0.008471044	0.02214446
a	7.0405713e-07	7.1288273e-06	1.6267208e-05	0.0003123155	0.08798916	0.29824144	0.13923998	0.212709	0.1916839	0.06980006
t	0.0003369009	0.000120232995	0.00011078919	0.0013633939	0.0036020882	0.15286525	0.692073	0.08642547	0.022050824	0.041052036
o	8.221358e-05	5.5069895e-06	2.2277297e-06	0.00013881939	0.0042963047	0.15529336	0.38292348	0.26634803	0.1014176	0.08949253
ì	0.0009191104	0.00070248666	0.00033696296	0.0013763312	0.0013182156	0.0700614	0.28332284	0.35595188	0.08879256	0.19721824
c	0.00023900617	9.124787e-05	0.0021789682	0.0009911786	0.0005190589	0.016368952	0.11731638	0.36555114	0.16249041	0.33425364
h	1.1321392e-06	2.1228664e-06	1.2085357e-05	0.00012552584	0.0013455717	0.008210413	0.070865825	0.2746721	0.4448417	0.19992352
a	1.9523111e-05	1.8446353e-05	2.257534e-06	7.771361e-05	0.00022785344	0.00033746634	0.029586228	0.11572888	0.5162418	0.33775985
v	0.0002573848	0.001065907	0.001561035	0.015544696	0.0024341957	0.012348198	0.034550488	0.03212325	0.40185538	0.49825948
à	0.00024063105	2.2386188e-05	7.483089e-06	0.00012320909	0.00013914338	0.0003186652	0.0077293036	0.048371535	0.49963996	0.44340765
l	0.0031283707	0.004653849	0.0027311125	0.029006256	0.0036667255	0.013623096	0.019268932	0.014433304	0.52322996	0.3862584
o	5.190315e-07	3.7480486e-06	9.891098e-06	7.570938e-05	9.250223e-05	0.00015133049	0.0031581654	0.06870025	0.70451236	0.22329554
n	0.0009788875	0.006590383	0.013872712	0.05626003	0.007389908	0.026060151	0.015674962	0.016637985	0.40940177	0.4471332
t	2.8644507e-05	6.913499e-06	1.6639935e-06	2.4732797e-05	6.7604356e-06	8.640139e-05	0.0011377288	0.030667527	0.5832078	0.38483182
a	2.9768446e-05	1.1819452e-05	2.2716451e-06	1.0890292e-05	6.5084255e-06	2.8382503e-05	0.00035507427	0.031833906	0.48638058	0.48134074
</S>	0.00025276328	0.0025553175	0.002675142	0.018103445	0.0033843033	0.013188725	0.011884832	0.0143833095	0.41678926	0.5167829
