 	il	ladro	è	entrato	da	qui	</S>
o	0.9871703	0.011782812	0.00072559883	0.00031363408	4.6982877e-06	1.4780294e-06	1.3939332e-06
l	0.007549221	0.9911726	0.0007630015	0.00049861224	8.64115e-06	4.8988672e-06	3.0899216e-06
à	0.6459634	0.29034245	0.048944153	0.014202638	0.0004128659	7.176032e-05	6.286103e-05
d	0.06278638	0.925542	0.010347454	0.0006767119	0.0005368784	6.8887035e-05	4.1706382e-05
r	0.044577394	0.81472164	0.05894942	0.033512786	0.014614657	0.023229918	0.010394107
o	0.5126355	0.30717134	0.15445848	0.021563686	0.0021091462	0.0012002428	0.0008617409
i	0.0006803622	0.2910889	0.64366186	0.0485237	0.010900567	0.0034995186	0.0016450366
m	0.0069613173	0.03727413	0.8628827	0.07827323	0.011824852	0.0014939099	0.001289846
b	0.010459749	0.005973664	0.56020224	0.39752066	0.016928101	0.00365254	0.005262944
ì	3.5005894e-05	0.00024237852	0.22146235	0.7660209	0.009621734	0.00026190153	0.0023556799
k	0.013041401	0.02996047	0.14959115	0.09674583	0.46496803	0.1964851	0.04920797
e	3.863367e-06	0.00018569645	0.077224255	0.4410348	0.2462663	0.14618596	0.089099206
a	0.022950662	0.055668462	0.018308075	0.020274064	0.19994429	0.56662846	0.116226025
p	0.01088283	0.0008107716	0.00049681053	0.012213931	0.44388697	0.3549501	0.17675862
ò	8.2926505e-05	8.5944215e-05	0.0006147117	0.00940847	0.14636059	0.49279025	0.3506571
t	0.015588504	0.0031828503	0.0004223826	0.00074028445	0.031966385	0.7509773	0.19712229
t	3.0793483e-06	1.541496e-05	7.154884e-05	0.0019816	0.13003051	0.6565454	0.21135242
u	1.7050801e-05	2.2050806e-06	1.152114e-05	0.0017413069	0.06415148	0.5366924	0.39738405
</S>	0.0027642266	0.00047142917	0.00076951244	0.0025860793	0.01230145	0.30839148	0.67271584
