 	se	vieni	alle	sette	se	no	non	vieni	più	che	non	mi	ha	</S>
a	0.96558136	0.033731062	0.0006486032	5.5923724e-06	2.3997929e-05	7.5894036e-06	7.171957e-07	8.937707e-07	2.0099898e-07	1.8322252e-08	4.484147e-09	6.0259135e-09	1.1078104e-09	1.5917638e-09
n	0.0078772325	0.9836648	0.004762743	0.0036732862	1.5515021e-05	2.5063123e-06	3.6869014e-06	2.3173486e-07	1.764792e-08	3.8867825e-08	3.33861e-08	9.766428e-09	9.211901e-09	2.2117598e-08
è	0.014692227	0.84642327	0.13410662	0.0039434363	0.00040332886	0.00019973796	0.00016954353	4.783317e-05	1.0011109e-05	2.3376488e-06	3.828471e-07	1.1360371e-06	1.143305e-08	3.8218225e-08
r	0.00068515056	0.9583886	0.020613763	0.018950287	0.00022937766	0.0010530162	5.356405e-05	1.6530019e-05	8.7942935e-06	1.096581e-07	6.959457e-07	8.9782105e-08	1.603377e-08	1.4727929e-08
t	0.0024939182	0.36333027	0.29455417	0.31875077	0.0036924041	0.015797442	0.00062940834	0.00052016816	0.00017250484	5.0368704e-05	2.0165705e-06	6.515e-07	1.1577009e-06	4.791659e-06
i	0.0014662038	0.04115564	0.8895288	0.034153506	0.02448705	0.004732016	0.0037125677	0.00059938006	0.0001255831	2.5356112e-05	6.188052e-06	6.0639213e-06	5.228192e-07	1.1920487e-06
s	0.00011921268	0.010131817	0.084558204	0.89845747	0.0017892589	0.002500655	0.0021582358	0.00020953287	5.988379e-05	4.263746e-06	8.367865e-06	2.9245168e-06	9.887466e-08	2.3707604e-07
e	0.00043649017	0.007863975	0.9576145	0.023316048	0.006787858	0.0017665576	0.0016626924	0.00040947637	7.821353e-05	5.1521754e-05	3.6724446e-06	6.3083917e-06	2.1113956e-07	2.4581177e-06
s	0.0006381762	0.0057517975	0.035343476	0.91657346	0.01686787	0.014385728	0.009184967	0.0009824866	0.00023722106	1.0452538e-05	1.5234235e-05	8.402103e-06	1.8005076e-07	5.7154347e-07
e	0.00080508756	0.0008031198	0.85637116	0.04956913	0.06488202	0.010094907	0.012675297	0.0037255497	0.0006248563	0.00026611605	5.882531e-05	0.000106482716	1.9151175e-06	1.5531748e-05
t	0.020245507	0.011412185	0.03908435	0.53182983	0.10678404	0.21140279	0.060546283	0.013210746	0.0050951927	0.0001358295	0.00013358994	0.00011265452	1.4498174e-06	5.590784e-06
t	0.001674433	0.0002236411	0.31290317	0.16240945	0.36327806	0.072246574	0.054601658	0.024651133	0.0052872626	0.0017720349	0.0003442501	0.0004648083	2.2110842e-05	0.00012134226
à	0.004721798	1.6688015e-05	0.003308118	0.0027229541	0.4147589	0.3922124	0.05120541	0.098105475	0.02864613	0.0023132607	0.00094596937	0.00055392494	0.00012154778	0.00036747297
a	0.019149655	0.0043089665	0.013137827	0.30306944	0.15120184	0.43302518	0.041276682	0.019272132	0.015014848	0.0003225213	0.000140542	6.262642e-05	3.882284e-06	1.3859943e-05
n	0.017746028	0.0024401988	0.030525055	0.08380189	0.07160174	0.52063286	0.1044646	0.09338431	0.069884345	0.0032691015	0.0009628829	0.0011683373	1.756396e-05	0.00010108403
d	9.5092444e-05	6.9395087e-06	0.0022807717	0.111730814	0.46858826	0.20065722	0.09656263	0.08349471	0.021843258	0.010227112	0.0012963534	0.0023759513	0.00028417475	0.0005567216
e	6.9877104e-05	7.5145346e-07	0.00015765111	0.0039158086	0.23766103	0.3175837	0.09821466	0.15993315	0.11926051	0.022763874	0.014534988	0.012762801	0.005398238	0.007742861
m	0.027873075	0.0065358398	0.0011438099	0.000869414	0.03123819	0.25728902	0.3323451	0.25486073	0.07988317	0.0029834153	0.0034629386	0.0012660447	4.8505477e-05	0.0002007314
i	0.023909189	0.0003759582	0.088585794	0.009135131	0.1249354	0.29264316	0.16647309	0.20884587	0.0533494	0.019639723	0.004239699	0.005595901	0.0003060316	0.0019656538
n	0.054398082	0.024679812	0.00078335544	0.0003613778	0.016241884	0.14631797	0.33374387	0.31130606	0.10025673	0.0040969024	0.005598002	0.0018032999	8.5363405e-05	0.00032727476
d	0.002380967	6.1564724e-06	0.0043498236	0.0020400516	0.16170351	0.18004099	0.2750903	0.2480025	0.07405071	0.03560892	0.0064138398	0.0038107152	0.00073783955	0.0057636905
è	0.00017872894	2.9979385e-05	0.00096757896	0.0010634684	0.015602714	0.052182887	0.014449816	0.25167772	0.43979815	0.10412901	0.041264158	0.038716946	0.014239529	0.025699269
l	0.027401626	0.01574403	0.0013222328	0.0003872058	0.01005415	0.079107136	0.031015838	0.2563714	0.55583894	0.011962382	0.0083183795	0.0017046108	0.00018819251	0.0005838147
a	1.0467139e-06	8.400806e-06	0.0001277947	0.0023669717	0.0019145174	0.36401388	0.00909629	0.26126832	0.19971077	0.12344338	0.0025247324	0.00663526	0.011395288	0.01749334
p	0.0019858857	0.0009993796	6.206245e-05	6.6987564e-06	0.00049362786	0.003333913	0.00557423	0.13772224	0.75174105	0.05626585	0.03020363	0.008146736	0.0006326833	0.0028320681
l	0.000639611	4.2209856e-05	0.008057395	0.0013551726	0.021060115	0.016251879	0.011190148	0.20818341	0.33664256	0.2897621	0.028476294	0.036697105	0.010434723	0.03120728
