 	non	ha	che	li	aspettiamo	</S>
e	0.99209845	0.007790397	9.220628e-05	8.644851e-06	4.998968e-06	5.311669e-06
n	0.42784074	0.5155245	0.054123633	0.002359597	7.600727e-05	7.550091e-05
è	0.19495453	0.77438885	0.03030184	0.00028499815	2.031307e-05	4.958683e-05
n	0.011879192	0.8781742	0.104492284	0.0049662953	0.00016597346	0.00032202774
a	0.016490769	0.7989248	0.17553672	0.0070432615	0.00046824611	0.0015361913
t	0.0034500472	0.04545712	0.8926981	0.05553325	0.0012946452	0.0015669138
u	0.00058593665	0.1543346	0.82099134	0.020036032	0.0009042802	0.0031477408
s	0.0013580348	0.0034660613	0.338661	0.58831125	0.051330183	0.016873494
m	0.0003342778	0.003945336	0.75331503	0.17570685	0.011015526	0.05568299
ì	0.013696895	0.0035114998	0.004757071	0.10126621	0.08048401	0.79628426
n	0.03022315	0.011435331	0.00781709	0.5744611	0.21519315	0.16087016
o	3.7051457e-05	0.00043203286	0.072439924	0.6145789	0.055273343	0.25723878
m	0.0039341357	0.0040139225	0.0013682208	0.13657545	0.5313214	0.32278684
e	0.0030548815	0.0065382775	0.01120152	0.04213419	0.12875627	0.8083148
</S>	0.7537518	0.0021734629	5.790182e-05	0.0011246543	0.13639762	0.10649456
