 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.98509383	0.014017332	0.0008094336	7.4867974e-05	2.7308888e-06	1.3656756e-06	3.4051848e-07
t	0.9108921	0.08644356	0.0026396539	1.8370882e-05	5.940674e-06	9.0682214e-08	2.0802847e-07
e	0.9138333	0.08489046	0.001266589	7.4880772e-06	1.998157e-06	2.8771725e-08	7.6586e-08
k	0.025141908	0.9637451	0.011015901	9.579483e-05	9.0893184e-07	2.1055354e-07	1.4846114e-07
a	0.13393228	0.77184874	0.09119349	0.002521316	0.0004439874	1.4532567e-05	4.5722492e-05
m	0.00497786	0.99091035	0.0039646523	0.0001453283	1.9239142e-06	4.2863586e-08	5.4494965e-08
m	0.019020164	0.695407	0.27850387	0.005974729	0.0009274555	2.6665286e-05	0.00014007819
è	0.0029844611	0.38690776	0.5138063	0.0953692	0.000368266	9.903194e-05	0.00046504417
n	0.010381115	0.3724071	0.56653	0.049519833	0.0011283745	9.828134e-06	2.377752e-05
i	0.027620856	0.38596073	0.5777432	0.006066898	0.002411313	6.326523e-05	0.00013372804
s	0.00011158858	0.022747772	0.9509607	0.024619909	0.0014927625	1.9479394e-05	4.770766e-05
t	0.00012470852	0.004641389	0.86718684	0.103895575	0.020863067	0.0005856367	0.0027027526
o	0.00013881864	0.00070833263	0.59080863	0.3500702	0.04475556	0.0026479426	0.0108705
g	0.0035335273	0.0031932015	0.3531678	0.61625224	0.022242775	0.00036038572	0.001250125
i	0.00041365827	0.0012753608	0.78475463	0.1638872	0.03941524	0.0032745807	0.0069792126
a	0.04164068	0.0016857384	0.034992512	0.9095747	0.011028517	0.00043740097	0.0006405228
r	0.00086990226	0.00030439475	0.002881035	0.94474703	0.044493232	0.0012294116	0.0054750186
d	0.000118515134	0.0002844766	0.10989722	0.56108093	0.2312266	0.026652459	0.07073985
ì	3.7977031e-06	2.9740835e-05	0.004130339	0.5745449	0.22510104	0.0839399	0.11225032
n	0.009814445	0.0047301357	0.011481976	0.78718406	0.18208173	0.0017603716	0.0029472832
o	1.7373508e-05	0.00014433952	0.2959327	0.4406673	0.19346242	0.01749998	0.05227579
s	0.012729376	0.0002790001	0.00029641794	0.41229197	0.5223563	0.015136386	0.036910575
t	1.6508815e-05	4.12439e-06	0.0009561196	0.55928504	0.29303727	0.032231625	0.11446932
o	1.3959647e-06	3.8769716e-07	2.3940633e-05	0.1605221	0.24264595	0.18413185	0.4126744
c	0.0010234811	7.675728e-05	9.253292e-05	0.057113428	0.5894847	0.075811215	0.2763979
ì	0.00088517717	3.2855558e-05	0.00027704978	0.0113582555	0.25889015	0.12519349	0.60336304
p	0.014969466	0.0005133664	0.00015495767	0.010233437	0.108869	0.3661788	0.499081
o	1.0499191e-06	2.4256206e-05	0.0003567042	0.00862881	0.43793455	0.29623768	0.25681698
</S>	0.0036081327	0.0013131804	0.0003295288	0.006654865	0.027882459	0.42834935	0.5318625
