 	deve	essere	bianco	</S>
è	0.99635917	0.0014220102	0.0021091886	0.00010962177
n	0.8492355	0.1492858	0.0011450582	0.00033365135
a	0.8414855	0.1294867	0.013955238	0.015072571
è	0.21000458	0.7603567	0.009734454	0.019904263
n	0.0019126629	0.95580626	0.006050325	0.036230754
e	0.038998906	0.60744876	0.2530318	0.10052053
à	0.0045133233	0.81825167	0.08073325	0.09650173
s	0.0031241684	0.2234793	0.19613642	0.5772601
p	0.00051980873	0.0645155	0.65225804	0.28270665
r	0.00076758163	0.0003387916	0.9257968	0.07309683
o	0.0033958917	0.00037237557	0.90883464	0.08739714
</S>	0.060956344	0.005541012	0.6223349	0.31116775
