 	non	sapeva	dove	a	stare	</S>
e	0.9958377	0.0040174494	0.00014350649	7.872158e-07	1.6208656e-07	3.943983e-07
n	0.8305514	0.16406985	0.0048967493	0.00012682102	0.00030386477	5.1408453e-05
ì	0.1329061	0.8604762	0.006501902	9.7975346e-05	9.624554e-06	8.216701e-06
s	0.0042768195	0.9868261	0.008761039	8.833391e-05	1.9416639e-05	2.82835e-05
s	0.17305358	0.7713847	0.04737504	0.003272172	0.0027413252	0.002173221
e	0.063753955	0.9018152	0.03249077	0.00093555794	0.0006223868	0.00038229598
r	0.001141462	0.43495226	0.5330727	0.029152159	0.000374515	0.0013068841
e	0.048147228	0.38320646	0.4066933	0.12377673	0.017206104	0.020970175
p	0.011565978	0.07969474	0.72958446	0.15186447	0.004080201	0.023210194
u	0.116116025	0.062947825	0.5460702	0.21136934	0.032607544	0.030889077
n	0.47855747	0.022459727	0.10195433	0.2663656	0.03165955	0.09900331
a	0.0012987511	0.0032196185	0.18302317	0.5462323	0.12847432	0.13775189
s	0.010776083	0.002046825	0.008692541	0.6973831	0.04623278	0.23486868
t	0.00039419447	0.00024051167	0.00816011	0.46810216	0.33748496	0.18561806
a	0.000458854	9.581277e-06	0.00037634672	0.41253328	0.25831336	0.32830855
s	0.0068017235	0.000468329	8.804728e-05	0.06295106	0.042586528	0.8871044
ì	2.3350609e-05	1.2682605e-05	5.3655178e-05	0.17532484	0.48080236	0.34378308
</S>	0.19490902	0.00020001057	4.503301e-05	0.0073726233	0.28599843	0.5114749
