 	la	madre	e	il	padre	non	è	non	è	che	li	dimentichiamo	mai	perchè	ci	hanno	dato	la	vita	e	amore	</S>
i	0.9661302	0.026371816	0.004464065	0.0022530803	0.0006937808	1.2316771e-05	4.3977427e-05	5.3229214e-06	1.591184e-05	4.9331047e-06	1.374003e-06	5.694951e-07	4.368703e-07	1.2557409e-07	1.6798872e-06	3.8361927e-07	6.50551e-08	3.4616136e-08	2.164694e-08	9.250793e-09	1.2811941e-08	9.556468e-09
m	0.95040745	0.037214607	0.01193822	0.00025948236	0.00015417162	3.3009005e-06	1.7218297e-05	1.5747152e-06	3.1160369e-06	2.0661146e-07	4.9450602e-08	9.543745e-09	6.8246804e-09	5.613738e-07	1.9883666e-08	2.8370006e-09	9.12317e-09	3.5867223e-09	5.6282277e-09	1.1419748e-09	8.6504165e-10	2.469337e-09
à	0.10649108	0.75143784	0.13474183	0.006090856	0.0008266372	0.00012440677	0.00016697837	4.385389e-05	4.6746907e-05	1.8289198e-05	3.7054283e-06	2.4717865e-06	8.788465e-07	1.2239958e-07	1.5978668e-06	1.7314816e-06	8.8809753e-07	3.270615e-08	4.0313054e-08	5.7856995e-09	6.614862e-10	1.8197118e-08
n	0.13647468	0.7453031	0.11683289	0.0011567498	0.00014216363	5.3173808e-05	1.2865939e-05	1.9875702e-05	3.7115656e-06	4.2608514e-07	1.0018675e-07	1.1229086e-07	1.601272e-08	5.7795493e-08	2.0420433e-08	1.4025915e-08	4.052219e-09	1.1522201e-09	8.6490914e-10	5.6248517e-10	1.6008612e-10	7.503833e-10
a	0.14150377	0.70488685	0.12607108	0.021894356	0.0030479713	0.0005130034	0.0009074334	0.00016899101	0.00035726404	0.00034449957	9.010601e-05	4.6377363e-06	1.5168892e-05	0.0001331922	1.656228e-05	1.4800303e-05	2.548654e-05	1.7503075e-06	1.0703701e-06	3.4785873e-07	5.1514183e-07	1.155318e-06
c	0.0032982735	0.16764206	0.8029395	0.021353742	0.0031085026	0.0010307238	0.00030526594	0.00027448597	3.987485e-05	4.495861e-06	9.1062725e-07	6.103304e-07	1.3240914e-07	5.339005e-07	6.308266e-07	1.1572789e-07	6.6110026e-08	1.0366694e-08	1.3971188e-08	2.042667e-09	2.595124e-09	1.0165215e-08
e	0.032521967	0.44427088	0.47098288	0.039089967	0.006820636	0.002052895	0.0016003186	0.0010589593	0.00084300316	0.0004288603	0.00010704762	7.903086e-05	2.5962088e-05	3.626731e-06	3.6376096e-05	4.1689098e-05	3.1889056e-05	8.7689926e-07	2.4319643e-06	2.5792914e-07	6.7580274e-08	4.3899166e-07
o	0.00082118093	0.009471762	0.73884445	0.14303988	0.08758725	0.0067812917	0.009180448	0.0025172592	0.0016696171	7.4410535e-05	6.57495e-06	2.612754e-06	4.3778542e-07	1.4883789e-06	1.1048315e-06	1.5291313e-07	3.798679e-08	1.5231866e-08	9.306542e-09	2.3526137e-09	1.7191091e-09	2.1853623e-08
c	0.0038034483	0.0011135484	0.27664357	0.29378706	0.19138588	0.103787005	0.06615472	0.0399164	0.020720802	0.0018174695	0.0002819702	0.00020580931	5.721346e-05	0.00012780345	5.545657e-05	5.1643907e-05	6.6605666e-05	7.3148417e-06	1.4082459e-05	9.4390504e-07	7.134512e-08	1.2156747e-06
i	0.00871533	0.018251617	0.30696648	0.47370356	0.09628063	0.03482417	0.022188492	0.017099725	0.011427758	0.0062392903	0.0013496474	0.0009158634	0.0003133071	5.111572e-05	0.00044371458	0.000541796	0.00059117924	1.565861e-05	5.2365835e-05	7.5209405e-06	2.7189315e-06	1.8059563e-05
ù	0.0062463065	0.009275588	0.46325964	0.16362469	0.31716675	0.016206207	0.017941518	0.004027315	0.0021728263	6.647605e-05	5.9000904e-06	1.9943584e-06	5.0162816e-07	1.1552174e-06	2.8038405e-06	2.2561774e-07	8.438876e-08	9.599555e-09	1.1822392e-08	1.1132021e-09	2.1804503e-09	6.1664784e-09
