 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.9898691	0.009167382	0.0008036691	0.00013310416	2.3276169e-05	3.2394673e-06	1.6767962e-07	5.598306e-08	4.6836128e-08
j	0.16231005	0.8359186	0.0017603624	6.622855e-06	4.0319596e-06	6.9151426e-08	1.3134832e-07	1.983914e-08	2.1316996e-08
i	0.07974397	0.85514796	0.06454989	0.00048787467	6.3904605e-05	6.255688e-06	9.14001e-08	2.6747502e-08	1.3186794e-07
n	0.15833451	0.76189244	0.078601785	0.00101682	0.00015156461	2.8897564e-06	6.280608e-08	2.0560962e-09	6.9430643e-09
è	0.045718186	0.7794876	0.16036645	0.011634851	0.0023370672	0.00041370862	1.13828955e-05	4.916478e-06	2.5810248e-05
k	0.025753023	0.8681154	0.10107073	0.0042465283	0.00078643876	2.6750331e-05	8.489497e-07	9.1211774e-08	2.0997132e-07
a	0.0072622327	0.46705878	0.42248455	0.04499388	0.01723422	0.00580901	0.017890068	0.013722476	0.0035448289
p	0.0014840981	0.07105097	0.88044655	0.03986739	0.0067992304	0.00033538585	1.1595229e-05	1.102265e-06	3.645102e-06
u	0.014698592	0.036851995	0.80214906	0.12279454	0.017369095	0.0055292253	0.00019757012	0.00012999865	0.00027988956
l	0.0050006215	0.033741243	0.86526525	0.08897861	0.0061512394	0.0008462695	1.0870522e-05	8.608805e-07	5.0820854e-06
i	0.003349886	0.0031313477	0.71249604	0.23576814	0.03263851	0.010403996	0.00072139845	0.0006765662	0.0008142102
z	0.01292713	0.013812727	0.84332705	0.11995557	0.0092387	0.0007178859	1.4985353e-05	1.4884532e-06	4.480505e-06
z	0.0006392086	0.0012466472	0.7125324	0.22752932	0.04624999	0.009765855	0.0004673759	0.00039058016	0.001178709
è	0.00013366096	3.0682473e-05	0.046957705	0.47950423	0.45085394	0.01959412	0.001493795	0.00028112796	0.0011507892
i	0.0059108036	0.0005369229	0.20977014	0.747433	0.028604472	0.0075799115	0.00011443627	1.4951382e-05	3.537873e-05
o	0.00315303	0.0029709768	0.060734957	0.6717726	0.24259384	0.017079469	0.0014773206	4.620677e-05	0.00017162085
s	0.0029229955	0.0010362004	0.0017121834	0.21527912	0.74406064	0.02829882	0.0061137956	9.949995e-05	0.00047678652
p	1.7376995e-05	3.5678e-05	0.00090043526	0.44593638	0.33325467	0.18720368	0.014634733	0.007550592	0.010466416
ì	6.879764e-07	6.5373924e-06	0.0003444146	0.19708695	0.69310194	0.07866374	0.016532367	0.00532832	0.008935042
t	0.015339893	0.0011172453	0.00015043198	0.23043934	0.671046	0.07753012	0.0037395007	0.0001422798	0.0004952028
i	2.19343e-06	0.00014050743	0.0024757294	0.5145677	0.23011135	0.11092059	0.05732192	0.048083775	0.036376312
o	0.0017959613	0.00021663707	1.2583217e-05	0.012670237	0.7341109	0.21926862	0.028167041	0.00051932264	0.0032387075
à	0.0047353585	0.00043857747	6.503336e-05	0.0026993097	0.47510055	0.22040689	0.26649505	0.0047812634	0.025277955
n	0.00019071971	0.000104515944	1.8124014e-05	0.00023212082	0.093969956	0.11555503	0.63264704	0.041542325	0.11574021
t	2.2261731e-06	0.00016518371	3.7292997e-05	0.004981544	0.073481634	0.23048742	0.33001477	0.26143214	0.0993978
r	1.403162e-06	3.8510595e-07	5.5086707e-07	0.0003717575	0.062201463	0.4601715	0.19257772	0.09419653	0.19047865
e	2.4463305e-05	0.00025614657	1.9304178e-05	0.0040066997	0.07764224	0.70773566	0.05843922	0.045064542	0.106811754
p	0.002004705	0.0016885623	0.00012127204	0.0008769407	0.03435764	0.28784046	0.4709065	0.032435857	0.16976805
o	5.8722188e-05	0.0009126859	7.695762e-05	0.0012939462	0.0024061028	0.08853153	0.100630976	0.39736155	0.40872747
d	0.005118877	0.00022449374	0.00013844858	0.0005289531	0.003259993	0.04324174	0.41479284	0.0973782	0.43531644
è	4.9389695e-05	0.000507944	1.7443357e-05	0.00037063228	0.0009287354	0.025885979	0.06292492	0.43682635	0.4724886
g	0.06315845	0.005589414	0.0010596061	0.009812814	0.05882301	0.122213155	0.08859903	0.07910611	0.5716384
g	5.4102584e-06	0.0013719222	7.678612e-05	6.5777065e-05	0.00013361771	0.007834833	0.1152554	0.6582439	0.21701239
h	3.2789343e-05	0.00088989217	3.667808e-05	0.00048170998	0.0005846796	0.027569389	0.025931718	0.40599948	0.53847367
e	3.2993203e-06	2.3541443e-05	3.1445124e-06	0.000140499	0.0005632123	0.014199082	0.01955898	0.3100976	0.65541065
</S>	0.009506197	0.0031213746	0.0016581544	0.009641064	0.04744412	0.09227954	0.04657282	0.034565713	0.75521106
