 	sul	muro	vuole	uno	specchio	</S>
s	0.9954027	0.004498615	9.110195e-05	6.5771105e-06	5.844759e-07	4.8144847e-07
t	0.69226354	0.304554	0.0030841944	5.514554e-05	5.752762e-06	3.738565e-05
o	0.95585614	0.043710582	0.00042261352	9.661033e-06	1.4934645e-07	8.4269567e-07
t	0.004495211	0.93971735	0.055626653	2.7421213e-05	3.781353e-05	9.539769e-05
ì	0.036526684	0.9029094	0.05862836	0.0018893277	7.704429e-06	3.8499813e-05
c	0.0259343	0.87310386	0.0985196	0.0003980062	0.0010371009	0.0010071147
h	0.19332732	0.75701284	0.047007605	0.001943962	0.00011614898	0.0005921793
o	0.63578945	0.35993397	0.0039718333	0.00021822593	1.8073622e-05	6.850752e-05
t	0.003466098	0.6879979	0.30292454	0.0023119312	0.00057665375	0.0027229558
è	0.005530155	0.51407975	0.4045369	0.073711425	0.00071044726	0.0014313225
l	0.02923028	0.29279873	0.6522294	0.01038628	0.010231919	0.0051234
i	0.0034273835	0.047640838	0.7850127	0.14077294	0.0066995886	0.016446577
o	0.0060182754	0.021697232	0.9363626	0.013401281	0.009389621	0.013130989
j	0.004952515	0.0015395437	0.08018458	0.8446829	0.04293615	0.025704375
e	0.007930802	0.0008111117	0.022189304	0.9169663	0.004879413	0.047222972
l	0.060147543	0.00038211182	0.0005734569	0.050526578	0.8672781	0.0210922
ì	0.0012341676	9.698217e-05	0.007852965	0.8974622	0.027351571	0.066002116
</S>	0.009333758	0.00042905484	5.735048e-05	0.00039507917	0.9132066	0.07657817
