 	non	sono	ancora	vestita	</S>
e	0.98998475	0.0073895967	0.0025945688	2.2131313e-05	8.805739e-06
n	0.27262014	0.353597	0.37322575	0.0005268793	3.0297464e-05
ì	0.31047964	0.6747384	0.014658927	5.7280467e-05	6.577342e-05
m	0.0059150434	0.95118684	0.04205888	0.00042048932	0.00041888992
e	0.03345186	0.8521861	0.09784273	0.0076415907	0.008877755
a	0.0005611444	0.12587795	0.86929286	0.003107811	0.0011603051
n	0.0002894939	0.012136176	0.9231814	0.05760595	0.0067869886
k	0.011699045	0.067591175	0.8894624	0.016550303	0.014697054
ò	0.013758315	0.0070908647	0.37626237	0.119527526	0.48336086
r	0.003436054	0.009106483	0.24955739	0.4498502	0.28804982
a	0.00022589516	0.0007717532	0.97685325	0.018575162	0.0035739283
e	0.0060829506	0.00605141	0.17267197	0.7000522	0.1151415
n	0.003350606	0.0056081167	0.073550284	0.76448363	0.15300728
d	0.0004137424	0.00059904234	0.15112767	0.47184926	0.37601027
i	3.3663655e-05	9.877285e-06	0.000615442	0.13703266	0.8623083
m	0.11145468	0.0014667271	0.009132343	0.8153215	0.062624715
è	0.005687228	0.0043683155	0.05735226	0.17782642	0.75476575
n	0.13021325	0.011515605	0.12962545	0.47352707	0.25511858
i	6.696208e-05	0.00020132036	0.029256122	0.7110303	0.25944528
</S>	0.07614989	0.0066528497	0.0019612336	0.06502348	0.8502125
