 	vuole	andare	a	Lecce	</S>
i	0.98955286	0.00775677	0.00017200712	0.0024844387	3.39486e-05
t	0.9157994	0.07523335	0.0024737774	0.006475715	1.7751801e-05
è	0.91161656	0.08583894	0.0016383445	0.0008066579	9.9478464e-05
l	0.38024113	0.5108591	0.0609998	0.047665708	0.00023431238
i	0.49987724	0.37160072	0.023393253	0.10240786	0.0027208829
n	0.040905233	0.8819624	0.059313513	0.017435664	0.0003830889
a	0.016611619	0.8919914	0.05737152	0.026270505	0.0077550225
p	0.0021663916	0.46971837	0.20755474	0.31368446	0.0068760975
à	0.012637352	0.30911094	0.4156723	0.14950581	0.11307364
i	0.0017140306	0.022428121	0.45796308	0.5015114	0.016383346
L	0.0010147206	0.0010451536	0.055209562	0.92006993	0.02266066
u	0.00064379483	0.006706666	0.26167855	0.45777035	0.2732007
p	0.0023512975	0.00046327087	0.019409012	0.91921043	0.05856589
p	0.00042949663	0.00102884	0.030221371	0.6271729	0.3411474
ì	6.6933385e-06	1.1176228e-05	0.0011528988	0.43503517	0.563794
u	0.086412214	0.01587723	0.00930855	0.6383844	0.25001758
n	0.022538146	0.0012466508	0.0028500492	0.1425194	0.8308458
a	0.00012855412	3.3597255e-05	0.001272641	0.14097106	0.8575942
</S>	0.09744228	0.002547835	0.0036456394	0.024022335	0.8723419
