 	Marika	non	ha	mangiato	mai	un	rustico	</S>
e	0.21828146	0.72629946	0.049808387	0.0052032415	0.00036078546	3.6520174e-05	9.219764e-06	9.504818e-07
M	0.98392075	0.014942127	0.0011130684	2.3436987e-05	4.871935e-07	1.01054844e-07	4.2305764e-10	3.5134058e-09
à	0.026634572	0.28867054	0.6677545	0.016505849	0.00041314785	1.8966188e-05	8.7373184e-07	1.5034836e-06
r	0.05667224	0.7236462	0.20700763	0.012223956	0.00043166464	1.7265596e-05	2.7036938e-07	8.314092e-07
i	0.018847676	0.53421456	0.32959247	0.10378943	0.011751874	0.000959973	0.00069055305	0.00015348541
k	0.0021315329	0.07462595	0.725523	0.18583813	0.011041097	0.00080036296	1.3520217e-05	2.6409143e-05
a	0.00022159328	0.040092025	0.6691746	0.22749363	0.054271724	0.0056353877	0.0026920864	0.0004189948
e	0.0074249785	0.1139376	0.596788	0.22897585	0.050122432	0.002694224	1.5292615e-05	4.171714e-05
n	0.026527058	0.0056744157	0.4813564	0.43114164	0.05078976	0.004314536	0.000117016854	7.914276e-05
è	0.00058939913	0.0021847105	0.27729782	0.5386669	0.15934159	0.015710635	0.004670384	0.001538526
f	0.013187705	0.09892274	0.020783132	0.6315732	0.22378297	0.010932647	0.0006083875	0.00020920663
a	0.0004233517	0.00028696706	0.027549256	0.72705495	0.17439121	0.05452262	0.0073713716	0.008400206
m	0.040737763	0.0022245997	0.003727021	0.081853986	0.7952203	0.07289909	0.0020311384	0.0013060598
è	0.002492848	0.0057721054	0.01084365	0.060307834	0.8014899	0.08853812	0.012602316	0.017953197
n	0.18356083	0.02543778	0.0029858495	0.0040053744	0.6645265	0.108128764	0.0076858057	0.003669108
a	2.3687686e-05	7.761173e-06	0.00024155126	0.071536936	0.7662759	0.115339816	0.020162491	0.026411908
m	0.002185068	0.00020421717	0.00015171703	0.00030065054	0.3613493	0.6120437	0.007956469	0.015808895
a	0.0012250772	0.00055920845	0.0018276451	0.0009956085	0.25510728	0.3912796	0.13987607	0.2091295
i	0.009935812	0.0031137897	0.00018190614	5.7674268e-05	0.020698927	0.86682117	0.040628966	0.058561813
a	0.008840939	0.0016883401	0.00031954216	2.8431119e-05	0.0022204414	0.9080242	0.0074080876	0.071470074
r	0.014109422	0.0020947477	0.00021495	8.636349e-05	0.0013708245	0.75781745	0.019486142	0.2048201
ù	5.5448323e-05	5.6586364e-06	0.00011465746	6.8888454e-05	0.00216064	0.060251735	0.6316872	0.30565572
s	0.0021151998	0.0016155127	0.00053846237	0.00035211194	0.0013477867	0.15599912	0.39828935	0.43974245
t	5.108212e-05	3.2513614e-07	1.9649411e-05	2.2390353e-05	0.0015635684	0.18199724	0.3934985	0.42284727
i	4.8010764e-07	1.4084368e-06	3.5771398e-06	1.9619138e-06	3.2599204e-05	0.02244755	0.6622177	0.31529474
k	0.0043961178	0.0026479221	0.0026052499	0.0011641268	0.0022177114	0.05203066	0.2748296	0.6601086
o	2.9501149e-05	3.2287514e-06	6.356897e-05	3.0727402e-05	0.00015986848	0.0026763962	0.73405784	0.2629789
</S>	0.008065136	0.040107604	0.022673229	0.0075727673	0.005387953	0.028933091	0.066199206	0.8210611
