 	Marika	è	che	si	sposa	domani	</S>
M	0.96044225	0.0344044	0.0034109375	0.0014177227	4.6615052e-05	0.00021495564	6.302945e-05
a	0.4191065	0.40761036	0.16794024	0.004938597	0.0003797929	1.4063547e-06	2.306571e-05
r	0.89328796	0.09211303	0.011004209	0.0034024843	0.00016260853	8.841677e-06	2.0920079e-05
ì	0.034820355	0.77544636	0.1816794	0.0071314834	0.0007881815	5.9658037e-06	0.0001281835
k	0.0011648295	0.29908922	0.5877838	0.09194107	0.019473774	9.3041126e-05	0.0004542342
a	0.007920507	0.19434804	0.32178172	0.26835302	0.031733464	0.16629882	0.009564339
è	0.0058105085	0.08135661	0.6204857	0.21243946	0.078389294	0.0005580341	0.0009602886
n	0.009745015	0.0657275	0.56027913	0.2690144	0.087566204	0.0026034482	0.0050643794
a	8.854935e-05	0.02689121	0.31475812	0.52145517	0.06933509	0.052625254	0.014846601
r	0.0022147927	0.0015254469	0.023686968	0.26372987	0.6304726	0.025298828	0.053071447
m	4.449264e-05	0.0010270656	0.0783022	0.4063805	0.43747622	0.0030290838	0.073740445
a	0.0012790051	0.00038518378	0.0005036821	0.035159897	0.3349369	0.104017	0.52371836
s	0.007637388	0.0011463673	0.00083587033	0.011273284	0.7539842	0.09757666	0.1275462
t	8.307092e-06	2.8726192e-05	0.00093645393	0.03331977	0.72771144	0.006531274	0.23146403
ì	3.861135e-05	5.811546e-06	2.0180865e-05	0.0011148495	0.40760022	0.12762068	0.46359968
à	0.004780826	9.1646514e-05	3.401243e-05	0.00011015489	0.030087618	0.8217978	0.14309797
v	0.0058268905	0.00013806114	3.4389344e-05	2.7965752e-05	0.0015159326	0.9642883	0.028168473
v	2.9072391e-05	4.470146e-06	9.394528e-06	2.4132542e-05	0.0014149875	0.98518395	0.013334039
r	0.0035997736	0.00054482865	0.0010188625	0.00023352608	0.00416512	0.7962363	0.19420157
i	0.00020365136	0.00033216728	0.0020780363	0.0009322119	0.0050579403	0.21434708	0.7770489
</S>	0.3753487	0.032314688	0.029099936	0.009613912	0.0207297	0.15473036	0.3781627
