 	è	facile	che	stanno	ancora	svegli	</S>
è	0.9961966	0.003519492	0.00015254202	4.970583e-05	7.466356e-05	6.417159e-06	4.8847363e-07
f	0.120949425	0.87866926	0.00037481892	6.2016757e-06	1.1799853e-07	5.891259e-08	1.2095148e-07
à	0.3506151	0.5885162	0.044421963	0.015559297	0.00036822882	0.00013141372	0.00038778016
c	0.026240714	0.9510285	0.022044865	0.00067486946	5.966611e-06	3.9150445e-06	1.0743337e-06
i	0.00673738	0.88269657	0.09659788	0.013244496	0.00051210966	0.000102622944	0.00010889518
l	0.004319159	0.8088451	0.16727525	0.019000983	0.0004498714	9.075306e-05	1.8888415e-05
e	0.0010662575	0.12681544	0.67892003	0.16753204	0.02288933	0.0024321303	0.00034487344
k	0.003810377	0.22714958	0.67616343	0.09013255	0.0020399652	0.0006051262	9.894442e-05
a	0.0009125698	0.029948322	0.82938474	0.11613587	0.02205376	0.0012501873	0.0003144888
s	0.0041513806	0.11766149	0.64350784	0.2024869	0.022676071	0.009074032	0.00044225322
t	9.203799e-05	0.010676503	0.86810696	0.09347584	0.025888452	0.0010661763	0.00069385755
è	0.00019297887	0.00045505853	0.2739697	0.37311295	0.32829744	0.015022175	0.008949729
o	0.006437078	0.0026343497	0.09753986	0.7082684	0.107193105	0.0750997	0.002827474
n	0.011170863	0.0098612895	0.2042205	0.6927834	0.06300554	0.015475403	0.0034829737
e	6.7170804e-06	5.2379695e-05	0.12729917	0.47479922	0.36416513	0.028335728	0.00534157
a	0.06152148	0.0002839321	0.0004603516	0.29049373	0.45621824	0.16771987	0.023302425
n	0.01405018	0.0021748699	0.0037793699	0.39706016	0.4593595	0.06906336	0.05451266
k	1.944894e-06	1.5818722e-06	0.0008437115	0.09453529	0.8104549	0.07117167	0.022990925
ò	6.6180417e-07	3.3928138e-06	3.843728e-05	0.019566117	0.37505013	0.19378272	0.4115586
r	0.016513493	9.133499e-05	1.2057431e-05	0.01312754	0.540934	0.3957924	0.03352919
a	4.177925e-05	3.743204e-05	0.0010894499	0.13303041	0.76012033	0.08407087	0.021609727
a	0.012834913	0.00015398266	7.282636e-05	0.0024062193	0.16983053	0.5183109	0.29639062
t	0.011684485	0.00032438088	0.00010692703	0.002298101	0.11968998	0.18005641	0.68583965
s	7.0475903e-06	9.1431417e-07	1.9353383e-05	0.0011558714	0.49366334	0.29586473	0.20928873
ù	2.7954602e-06	3.4416487e-07	1.0118733e-06	0.00014835723	0.15946727	0.120586604	0.7197936
n	0.0014029198	0.00022485471	0.00011779067	0.0028898376	0.0341504	0.3065337	0.6546805
n	3.1513566e-05	0.00028761165	0.0003063047	0.0018410947	0.1633157	0.38313386	0.45108396
i	3.2883968e-06	5.2275294e-07	1.1635093e-06	4.5482106e-05	0.083388954	0.23830365	0.67825687
t	0.0037117354	0.0002175317	0.00016492094	0.0021467786	0.014643118	0.050255354	0.9288605
i	0.0001461756	1.3654898e-05	3.0904364e-05	0.00026478324	0.09687262	0.22140725	0.68126464
</S>	0.08029102	0.0033183196	0.00094311446	0.0038909058	0.023471432	0.010266199	0.877819
