 	mia	sorella	ancora	non	è	venuta	qui	</S>
t	0.98072964	0.018934144	0.00027882116	3.7964848e-05	1.7539496e-05	1.4961685e-06	2.0465757e-07	1.313739e-07
i	0.9925916	0.0073542967	5.211599e-05	1.3945963e-06	4.7449112e-07	5.0383726e-08	1.6469997e-08	1.4700163e-08
n	0.969686	0.030303944	6.443101e-06	1.5580488e-06	2.0042312e-06	2.317714e-08	5.312213e-09	8.703056e-09
a	0.9740891	0.023794733	0.0018108692	0.00022954216	7.248085e-05	2.6972182e-06	2.709915e-07	2.919136e-07
d	0.9245689	0.07475346	0.00060590456	3.3027627e-05	3.8253354e-05	3.0235188e-07	7.322291e-08	8.76427e-08
r	0.05281289	0.85752034	0.079361424	0.008440743	0.001718046	0.00011390814	1.3608176e-05	1.9072813e-05
e	0.25773892	0.7279198	0.009916169	0.0037146963	0.00068234996	2.2240478e-05	1.4658193e-06	4.3227196e-06
f	0.0476186	0.9357783	0.014275108	0.0021867559	0.00013493313	5.8042506e-06	2.5186583e-07	2.7674267e-07
f	0.02072767	0.87488455	0.09130801	0.010650537	0.0021184403	0.0002298814	3.647172e-05	4.4397322e-05
ì	0.0057395888	0.36095715	0.16245782	0.30395436	0.15661606	0.007600616	0.0009241933	0.0017502353
m	0.00073852215	0.4547964	0.10673008	0.4241385	0.012347506	0.0011735328	3.857753e-05	3.680083e-05
m	0.00059495954	0.57136196	0.3051558	0.017630734	0.060445014	0.022106787	0.017320428	0.005384336
u	0.0026726273	0.23507261	0.6557515	0.07519873	0.022996081	0.006736873	0.0009338226	0.00063777075
a	0.0037014373	0.024603838	0.5800255	0.3087215	0.08129599	0.0013868613	7.866558e-05	0.00018612819
n	0.0044062375	0.009035301	0.4570862	0.2884235	0.2357704	0.0047659506	0.0001090303	0.00040332234
k	1.5309772e-05	0.00015473946	0.8709958	0.08173206	0.034318108	0.008540515	0.0020770836	0.0021662447
ò	3.721333e-06	1.7593806e-05	0.1939724	0.3301313	0.35513228	0.06960473	0.02187271	0.029265296
r	0.00046749486	8.456753e-05	0.5091544	0.46867257	0.019731222	0.0014957323	0.00026602656	0.00012794952
a	0.0001332791	0.00080069405	0.93909955	0.03498891	0.018216345	0.003877315	0.001297386	0.001586492
e	0.012040473	0.00036895563	0.058698345	0.45415077	0.43812543	0.027316304	0.0023814584	0.006918206
n	0.0024633622	8.408768e-05	0.003547519	0.22860773	0.7103843	0.046290148	0.0021894348	0.006433419
ì	3.183767e-06	1.8460323e-05	0.063044064	0.26583478	0.36522773	0.2230311	0.043172438	0.039668296
r	0.026880322	0.0015882342	0.013672732	0.09727913	0.6136608	0.18222243	0.028895691	0.035800647
t	8.839954e-06	1.1879791e-05	0.08023824	0.036710285	0.41641447	0.21431011	0.11513564	0.1371705
e	2.2847007e-06	1.3667576e-06	0.0035673867	0.06654826	0.23642193	0.40471044	0.12756221	0.16118608
e	0.0059186467	0.00069495407	0.00042204754	0.039677545	0.13221018	0.4560166	0.08903165	0.27602836
t	0.0059286887	0.000889901	9.1935995e-05	0.019838981	0.054465473	0.28609642	0.16946353	0.46322504
t	1.51039985e-05	1.2159435e-05	0.0003761293	0.0028549493	0.012780386	0.31878647	0.3724412	0.2927336
ù	1.0570194e-06	8.6575034e-07	2.9628236e-05	0.0010924523	0.003587736	0.11899206	0.44734108	0.42895502
</S>	0.00033219578	0.0001492337	0.00055091263	0.03933236	0.022386722	0.055075034	0.29629275	0.5858809
