 	dei	genitori	</S>
à	0.9443201	0.053945556	0.0017343867
t	0.78234833	0.19534045	0.022311166
t	0.556033	0.29791752	0.14604943
u	0.88490975	0.07453794	0.04055233
s	0.29105616	0.59265137	0.11629246
g	0.6830582	0.17567566	0.14126608
e	0.9346493	0.05349078	0.011859959
n	0.31356555	0.6794398	0.0069946614
i	0.03863929	0.74164796	0.21971275
t	0.00064431684	0.98938143	0.00997429
ò	0.003934688	0.825457	0.17060833
r	0.0076577617	0.8954069	0.09693534
u	0.004571846	0.9717101	0.023718076
</S>	0.01353062	0.6416805	0.3447889
