 	prima	di	andare	alla	scuola	</S>
p	0.96167076	0.033513334	0.0047700135	3.363275e-05	5.792248e-06	6.417331e-06
r	0.85675883	0.14118475	0.0020141439	4.0310562e-05	3.7921282e-07	1.5361767e-06
ì	0.83945805	0.1582235	0.0022951385	2.1485994e-05	4.222561e-07	1.4206894e-06
m	0.6181246	0.34398893	0.03400152	0.0035201274	7.623773e-06	0.00035712248
a	0.047287084	0.5856475	0.21755585	0.106858015	0.009240534	0.03341108
n	0.009968573	0.71680325	0.24278724	0.029074557	7.459846e-05	0.001291783
a	0.0015221263	0.8938716	0.08855889	0.01495937	0.000663276	0.00042462096
p	0.0007626832	0.08291894	0.8280487	0.07632719	0.00026131418	0.0116811665
à	0.00077775354	0.22328505	0.62445915	0.13390978	0.014152562	0.003415761
i	0.0022176749	0.01752328	0.54498404	0.25957492	0.0071450057	0.1685551
s	0.009203114	0.006243991	0.30072784	0.49151242	0.004396147	0.18791647
t	7.4813984e-06	0.00036231717	0.14232434	0.61691123	0.20808874	0.032305866
i	7.6342345e-05	3.7428217e-05	0.034284785	0.5614131	0.23376325	0.17042503
s	0.01858176	0.00089833874	0.0008197694	0.58220655	0.029123323	0.36837015
k	1.7816845e-05	3.3784258e-05	0.0007885883	0.28540456	0.6501476	0.06360759
ò	2.76148e-07	1.0296175e-06	0.00019311537	0.117728144	0.41433507	0.46774232
l	0.063453496	0.00047613066	0.0001387264	0.0073389383	0.553061	0.37553167
a	3.777844e-06	4.6843834e-05	0.00020843094	0.048170757	0.9084086	0.043161627
</S>	0.27398384	0.0053393994	0.00091385044	0.013058813	0.21129552	0.4954086
