 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.9676098	0.031556536	0.0008155819	5.792755e-06	1.2034055e-05	2.1100551e-07	2.6661935e-08	1.1575514e-08	5.235287e-09
n	0.013228838	0.97915685	0.0046594003	0.002892376	5.5571625e-05	5.3214985e-06	7.4647403e-07	4.780414e-07	3.0654314e-07
è	0.018404637	0.8581587	0.11979187	0.003431849	0.00018320902	2.7929393e-05	1.5059586e-06	1.2928349e-07	1.3744214e-07
r	0.0006263686	0.9650263	0.017430097	0.015381507	0.00085913145	0.0005973501	7.125911e-05	7.1903287e-06	7.360396e-07
t	0.002217214	0.401014	0.24487486	0.3433715	0.007971773	0.00024476464	0.00010380383	0.000107469496	9.463568e-05
i	0.0019447578	0.04797177	0.8881061	0.03969067	0.020724881	0.001477478	6.3832464e-05	1.1540706e-05	9.01472e-06
s	0.00018158917	0.01533272	0.07739907	0.9008447	0.002476026	0.0033827936	0.00035110855	2.05872e-05	1.1392657e-05
e	0.0004920421	0.010422623	0.9524664	0.031328462	0.0050193556	0.00023454265	2.1973116e-05	2.976731e-06	1.1553471e-05
s	0.0007136424	0.006188731	0.028355865	0.9450355	0.012566098	0.006558792	0.00051526446	3.9749077e-05	2.6342132e-05
i	0.00094522565	0.0010191157	0.86512595	0.09321435	0.036394566	0.003042581	0.00018018704	1.7988235e-05	5.9979033e-05
t	0.02201999	0.010569348	0.045719776	0.70195246	0.16710527	0.04824246	0.0038575218	0.00031651318	0.00021665041
t	0.0021686277	0.00033057077	0.2910717	0.4199419	0.26951405	0.015089654	0.0011464477	0.0002037341	0.0005332596
à	0.014265043	4.1233376e-05	0.0076660546	0.008049034	0.8879915	0.065668896	0.010606623	0.0029103556	0.0028012327
a	0.029448912	0.0051344014	0.01724874	0.24594085	0.6554668	0.04190227	0.0036777118	0.0007021285	0.00047823734
n	0.061442725	0.009127091	0.1331543	0.28133708	0.36645994	0.104995936	0.035380024	0.0031088267	0.0049941554
k	0.00015564208	1.8439703e-05	0.0032072312	0.20471911	0.7387463	0.039765336	0.007983433	0.0025318158	0.0028727672
ò	0.0001633853	1.2098915e-06	0.00048619934	0.0063763866	0.5365274	0.22196987	0.11486294	0.059163153	0.060449485
r	0.00045559346	0.00011688919	0.00013195933	0.0009915363	0.69937927	0.28687328	0.008120681	0.003310992	0.0006198056
a	0.0004933834	0.00021833081	0.0027915097	0.42405564	0.5467331	0.014857975	0.0038398823	0.0019023339	0.0051079066
e	0.012686192	0.004876236	0.0101608755	0.0007508923	0.25193524	0.31307265	0.2567602	0.08303428	0.06672342
n	0.009558159	0.00151228	0.0036850057	0.00018426802	0.03426926	0.26817834	0.52313894	0.06440357	0.09507018
è	0.00038376183	1.8465091e-06	0.000327779	0.00015556597	0.3155678	0.2619814	0.21626014	0.103429995	0.10189174
p	0.07469896	0.0098898485	0.00013707811	0.0001331072	0.023450976	0.1371845	0.34891257	0.26276287	0.14283009
r	4.5365728e-06	2.8823688e-05	0.0015812602	0.0071748355	0.036699705	0.018682802	0.27531603	0.3143551	0.3461569
ò	0.00028188055	8.825821e-05	0.0010754594	0.00034224198	0.022865362	0.029080098	0.08868832	0.41066906	0.44690934
n	0.0042474614	0.011367122	0.0021025778	0.00058893807	0.00522656	0.007353163	0.024830492	0.41965163	0.5246321
t	2.9152766e-06	3.2874443e-06	0.00011409258	3.2412605e-05	0.00090806745	0.0003785641	0.030285938	0.3848817	0.583393
o	6.480777e-05	4.0584896e-06	5.188472e-06	5.090176e-06	0.0007960511	0.011768514	0.040244035	0.6076793	0.33943295
</S>	0.0018964151	0.004149126	0.00095075514	0.00038022897	0.002171441	0.011744879	0.017791683	0.36588368	0.59503186
