 	se	si	era	vestito	il	mio	fratello	l'	avessi	portato	con	me	</S>
a	0.91630095	0.083209336	0.00040319757	3.7777052e-05	4.1459556e-05	5.614902e-06	1.2619772e-06	3.5124947e-07	4.024582e-08	7.22124e-09	1.7288782e-09	7.1057027e-10	1.2438827e-09
n	0.01828057	0.88114315	0.096058674	0.004494095	1.9528023e-05	2.7220149e-06	7.2919784e-07	2.2187378e-07	1.7445741e-07	8.26659e-09	3.832498e-09	7.4049247e-09	5.088629e-08
ì	0.007337288	0.7317464	0.25294882	0.006959842	0.000699987	0.00022870007	5.772228e-05	1.5735115e-05	5.087305e-06	3.22123e-07	8.363035e-08	7.928257e-09	1.8601517e-08
c	0.00036263227	0.1571272	0.8307305	0.007848825	0.003323294	0.0005937702	9.700767e-06	2.2003508e-06	1.6560955e-06	1.55166e-07	9.900001e-09	7.339564e-09	2.0939362e-08
h	0.047552202	0.41211838	0.5094897	0.02795143	0.0019071276	0.0005731688	0.00028195936	6.888584e-05	4.4175948e-05	9.212693e-06	2.5797342e-06	5.641838e-07	6.212086e-07
e	0.029536895	0.38751698	0.52840304	0.045390718	0.0058587915	0.0017950167	0.0009681644	0.00037388943	0.00012208255	2.2762464e-05	9.692859e-06	1.0753308e-06	8.509326e-07
n	0.00024481758	0.0045005386	0.92425054	0.07039201	0.000507837	8.212852e-05	1.460197e-05	3.7850884e-06	2.6818777e-06	3.9862402e-07	9.219689e-08	8.037385e-08	4.993866e-07
d	0.00022408373	0.01778447	0.8326178	0.13824767	0.007116241	0.0021417283	0.0013671758	0.00035185623	0.00013958305	6.6416105e-06	1.592625e-06	2.5585175e-07	8.369461e-07
i	0.012759784	0.002612634	0.02427819	0.4101237	0.3743793	0.09390068	0.051736947	0.024728198	0.0038575719	0.0010217356	0.00041086102	7.952259e-05	0.00011079814
s	0.0009432423	0.0017703192	0.053458937	0.49496183	0.3680781	0.06814425	0.010151909	0.0023470079	7.2955256e-05	6.08117e-05	4.3867553e-06	6.832928e-07	5.570832e-06
ò	0.0009522503	0.0013747128	0.5193704	0.3633093	0.06726385	0.027075177	0.011441807	0.0069286767	0.0021644395	6.900148e-05	1.7724322e-05	2.9705068e-06	2.9734843e-05
n	0.067120336	0.01690579	0.039990578	0.1885	0.5298224	0.13550006	0.01745267	0.0034806216	0.0010356348	0.0001559672	1.8702352e-05	3.641598e-06	1.36406925e-05
t	0.00046342728	0.00038456052	0.021988217	0.60215145	0.23215936	0.07898863	0.047057394	0.011046368	0.0051428415	0.0004442275	9.411434e-05	2.3560762e-05	5.579622e-05
a	0.011665026	0.00046155832	0.0011244188	0.07961145	0.53626966	0.16924612	0.11273255	0.07509607	0.011701751	0.001254454	0.0003835316	0.00010514689	0.00034829284
o	0.0069343327	0.004103119	0.0020327861	0.006630589	0.512022	0.3582033	0.09231003	0.015444482	0.0014955014	0.00075293257	3.8439037e-05	4.1726153e-06	2.8381766e-05
