 	è	che	sono	ancora	svegli	che	ha	la	luce	accesa	</S>
è	0.98245347	0.014166129	0.0026172998	0.0004780109	0.00027171068	1.1741186e-05	8.043165e-07	5.350234e-07	2.7173826e-07	5.641111e-08	2.856988e-08
n	0.88750184	0.09671055	0.015552986	0.0002333375	6.825392e-07	2.3608428e-07	3.1163066e-07	3.6266137e-08	9.303279e-09	2.3598767e-09	1.89491e-08
a	0.556602	0.37678894	0.058891352	0.0071239853	0.0003888069	0.00015841544	3.719484e-05	5.6693157e-06	1.7481658e-06	6.286612e-07	1.2357483e-06
s	0.12821232	0.4977404	0.37127817	0.0027425566	2.112173e-05	3.273877e-06	1.8972338e-06	1.3998647e-07	1.9337973e-08	6.3979293e-09	7.318943e-08
t	0.010978248	0.7551556	0.22216573	0.010452056	0.0010781115	0.0001383906	2.6408481e-05	4.1326007e-06	9.096943e-07	6.301602e-08	3.5520603e-07
a	0.022910483	0.84340984	0.12150418	0.009243811	0.0027001984	0.00020662822	1.70546e-05	5.70082e-06	1.9092952e-06	8.6234934e-08	2.1143313e-07
s	0.0023650315	0.09875579	0.8785378	0.020087061	0.00021992461	2.9943149e-05	4.13718e-06	3.0825663e-07	2.3621007e-08	1.6716792e-09	1.1479465e-08
ù	0.00018304696	0.16888466	0.72489995	0.08440067	0.019951733	0.0014850775	0.00014459617	3.558579e-05	1.0117855e-05	5.7345335e-07	4.0917116e-06
n	0.01571517	0.042466667	0.42662528	0.50321096	0.011455179	0.0004625895	5.5351196e-05	6.719897e-06	1.5942078e-06	1.1401957e-07	4.140267e-07
a	0.000284668	0.13034052	0.6072031	0.21039374	0.044758562	0.0054376386	0.0011105807	0.00028908302	0.0001303276	1.7517224e-05	3.4209905e-05
n	0.011621653	0.01451315	0.22595716	0.69096744	0.05119014	0.0051149833	0.0005451093	7.419278e-05	1.15983e-05	4.422625e-07	4.0826467e-06
k	8.563717e-05	0.0043138964	0.08536577	0.5421174	0.3414784	0.023419417	0.0019259666	0.0007687342	0.0003991428	3.4128498e-05	9.146648e-05
ò	6.6177585e-05	0.00010944917	0.00083137624	0.15991321	0.69820046	0.099844635	0.0166952	0.011608648	0.008873132	0.0018265605	0.0020311722
r	0.0003222662	9.072878e-05	0.0021381986	0.61857444	0.36946842	0.009030554	0.00034266425	2.164922e-05	9.785475e-06	2.0366946e-07	1.1051156e-06
a	0.000169064	0.0006332538	0.008051341	0.7135468	0.26464745	0.011098428	0.0012542037	0.0003425511	0.00015903996	2.3332423e-05	7.459443e-05
a	0.002815201	0.00010642172	0.00035557634	0.2510401	0.6887078	0.053462654	0.0030828202	0.00035498172	4.5024335e-05	3.0523572e-06	2.6373298e-05
t	0.042954043	0.0015037998	0.0018133856	0.02004382	0.2872313	0.52217615	0.104280174	0.018039308	0.0014511168	3.5884495e-05	0.0004710583
s	1.5598825e-06	7.65479e-06	0.00016683039	0.05367257	0.7997736	0.11282299	0.013960768	0.010161683	0.0077060307	0.0008006675	0.00092566904
ù	4.925034e-06	5.087934e-07	3.2871872e-06	0.0026313167	0.5069689	0.36792523	0.07447943	0.02633467	0.009972167	0.00327226	0.008407295
n	0.0059349583	0.00023774177	0.00073817064	0.0030846323	0.38411137	0.5261839	0.06499384	0.011649266	0.0025179205	0.000116212024	0.0004319992
n	4.600761e-06	2.3180999e-05	0.000246802	0.038829997	0.6657617	0.17596403	0.06571948	0.02801585	0.016953139	0.0034286787	0.005052589
i	1.596217e-06	2.784198e-07	7.5231304e-07	0.000497403	0.5850896	0.30166298	0.05740737	0.027445398	0.0150467	0.0039196825	0.008928096
t	0.008268155	0.00018647827	9.730048e-05	2.0089203e-05	0.0138571225	0.71261144	0.21884127	0.04208726	0.0027165583	0.000118013944	0.0011963148
i	7.179772e-06	4.7333897e-06	1.3556741e-05	0.0006006257	0.43359572	0.42272586	0.069572814	0.039424766	0.024085766	0.0032401346	0.006728874
k	0.002333779	3.3295222e-05	1.45131535e-05	2.4083076e-06	0.00070771744	0.38068026	0.4959049	0.10939528	0.007615765	0.00054751	0.0027646152
a	4.901321e-05	2.92069e-05	0.00014362573	0.0010717816	0.088700496	0.4144548	0.15654962	0.1461041	0.12255373	0.025989834	0.044353865
è	0.008531101	6.290026e-05	3.5369016e-05	1.9958145e-05	0.0012672372	0.28094196	0.53601307	0.15239803	0.014885105	0.0016904643	0.0041548493
c	0.0010286809	4.9533828e-05	4.4535256e-05	4.291817e-06	0.0006075339	0.14651197	0.52847004	0.2580164	0.049878243	0.0028055082	0.012583275
h	7.1394566e-06	1.992424e-05	0.000102726284	0.00013163223	0.002829827	0.09670986	0.36273342	0.25263992	0.16724952	0.05483208	0.06274393
i	2.6194553e-05	4.2129024e-05	6.9898255e-05	7.7492456e-05	0.0055620656	0.008728306	0.034129217	0.25895062	0.48510104	0.10167418	0.10563894
o	0.0021061148	0.00020386033	0.00023305707	1.1878549e-05	0.00028016072	0.011331236	0.09471996	0.61171114	0.1937838	0.017976018	0.06764271
l	0.05567406	0.0017595028	0.0006634189	1.1306324e-05	0.00012709526	0.0017730625	0.11535107	0.62618864	0.058212187	0.032343097	0.10789661
ù	4.5337674e-05	2.281209e-05	4.82815e-05	7.296333e-05	0.004778818	0.004713622	0.020722006	0.17083742	0.42276216	0.13681847	0.23917814
s	0.0013092731	0.000109333094	0.00021704036	5.4116066e-05	0.0004400589	0.0013833216	0.02593106	0.32500175	0.34210026	0.16555136	0.13790238
t	1.415775e-05	1.1644004e-05	3.5002093e-05	2.6632657e-05	0.0013530347	0.006674367	0.062499195	0.3000279	0.4030523	0.101530224	0.1247755
r	9.519168e-07	6.8856247e-07	7.881289e-07	1.2536839e-06	8.1574646e-05	0.00017693828	0.003808221	0.14464514	0.38929248	0.23658575	0.22540621
o	2.692636e-05	2.0947324e-05	5.8364574e-05	5.8263915e-05	0.0018884182	0.0006791378	0.0020200154	0.10044715	0.56477576	0.14429283	0.18573211
a	0.008522775	0.0020229816	0.002583074	7.2423856e-05	0.00027051065	0.0024709716	0.0068849786	0.07272143	0.28293082	0.26856777	0.35295227
n	0.023514478	0.0033839652	0.0040363795	0.00012381631	0.00044112984	0.0010754399	0.005627931	0.049490828	0.06336328	0.5183867	0.33055604
a	3.3523356e-05	1.4428312e-05	5.622622e-06	3.6129545e-06	0.0001545885	8.686395e-05	0.004499645	0.09330681	0.15749767	0.44067642	0.30372083
m	0.0033747558	0.00067131006	0.0016774135	0.00010482694	0.0004160451	0.0005341738	0.0020466507	0.016925385	0.04593782	0.71012175	0.21818987
m	4.6182722e-05	1.6283153e-05	1.2111418e-05	1.1152412e-05	0.0011621309	0.0009965898	0.0037308892	0.0631633	0.42475307	0.19496453	0.31114385
è	7.479185e-05	1.270118e-05	6.337775e-05	4.979207e-06	6.2800165e-05	0.0004029521	0.00061898783	0.0032163435	0.017137391	0.25918466	0.71922106
n	0.042378232	0.00809718	0.078950986	0.037574552	0.045116045	0.03943762	0.0054255934	0.037200738	0.18010913	0.31121668	0.21449319
o	2.2129718e-06	1.352159e-06	3.974686e-06	9.873195e-06	0.0001770337	4.3067463e-05	7.3301875e-05	0.006177331	0.43630856	0.34983164	0.2073716
</S>	0.014286167	0.0048787077	0.009652392	0.00035940533	0.000889155	0.005770548	0.009229086	0.05207673	0.066229135	0.43082088	0.40580788
