 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.98129785	0.017091546	0.0008936714	0.00068976614	2.232086e-05	4.0120626e-06	8.573858e-07
i	0.7813655	0.2079072	0.009885324	0.00081538723	2.5010117e-05	9.860339e-07	5.8899775e-07
ù	0.17617819	0.21395855	0.34225154	0.2592765	0.008145433	6.7745576e-05	0.000122066645
m	0.00047791586	0.4580925	0.5115877	0.026581692	0.002775504	0.00013158715	0.00035303622
è	0.019673318	0.34323984	0.2728545	0.20002358	0.12583828	0.017696297	0.020674165
s	0.014017308	0.55619746	0.41782793	0.010928081	0.0009435903	3.9946102e-05	4.5698347e-05
a	0.07321475	0.53478307	0.35486007	0.024931535	0.008712839	0.0020810328	0.0014166908
è	0.00065092335	0.03228581	0.9023062	0.059433803	0.004861425	0.00026059936	0.00020123563
n	0.0006420711	0.013402155	0.69720596	0.24246618	0.04027998	0.0027251183	0.0032784278
a	8.55084e-05	0.031086598	0.5942299	0.23708318	0.11447408	0.012448669	0.010591994
v	0.002163855	0.00035361003	0.093070015	0.7773526	0.110223435	0.008482207	0.008354238
à	0.0011468849	0.00053510664	0.6272648	0.27409598	0.07415821	0.012578846	0.010220104
l	0.03813081	0.00062895135	0.005948052	0.673009	0.22936629	0.035091147	0.017825745
i	4.2663432e-06	5.386843e-05	0.018276688	0.3831638	0.47100455	0.086382054	0.041114785
è	0.007881173	0.00031602776	0.0011263767	0.042847417	0.79665875	0.069630854	0.08153935
n	0.0013534738	0.0002121577	0.00011060049	0.020059908	0.8019324	0.042434923	0.13389651
a	2.3492616e-06	4.82882e-06	0.0003792965	0.042036537	0.65509784	0.19324179	0.10923734
t	0.0031481285	0.00014826177	0.0001482205	0.006592247	0.32139972	0.17308113	0.49548227
a	5.745773e-05	5.7854036e-06	0.00010012544	0.004746821	0.36319655	0.325252	0.30664125
p	0.0027171366	0.00025960983	0.000102373146	0.003910759	0.08752897	0.115283325	0.7901978
p	0.00011117347	9.425596e-06	0.0001144754	0.00035579578	0.03245721	0.50882816	0.45812377
è	2.4230508e-06	2.7412298e-05	0.000120558805	0.00061458227	0.002270192	0.2201922	0.7767726
t	0.058832556	0.0013519807	0.005496035	0.007924502	0.0027084637	0.6840155	0.23967093
o	2.6833231e-05	7.5609555e-06	5.60066e-05	8.59622e-05	0.0039967867	0.8899036	0.1059232
</S>	0.014210988	0.0031983797	0.0020194487	0.020440495	0.01633458	0.08536959	0.8584266
