 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
e	0.9854499	0.010588837	0.0033790146	0.0003824438	0.00016405135	3.1897787e-05	3.0178235e-06	3.9993415e-07	9.2440025e-08	1.1619294e-07	5.3230046e-08	8.663059e-08	1.5232349e-08	8.237825e-09	6.3259975e-09	3.0337763e-09
t	0.7978388	0.18338868	0.018083025	0.0006130364	6.9738875e-05	3.598609e-06	1.319901e-06	1.4967794e-06	5.8546206e-08	3.2436052e-08	1.3062676e-08	1.9417982e-08	2.4880308e-08	1.26639685e-08	3.73081e-09	1.8567047e-08
t	0.76355505	0.2162554	0.016706994	0.002238482	0.000883962	0.00031913002	2.202245e-05	7.811111e-06	5.157268e-06	2.5235731e-06	1.619989e-06	1.1277316e-06	4.8914046e-07	1.1844765e-07	3.8222552e-08	5.361247e-08
ù	0.6108881	0.07557286	0.24468993	0.04011046	0.022309378	0.0048859883	0.0013289596	0.00014398861	2.2760223e-05	1.6390743e-05	1.5840145e-05	1.025022e-05	3.6441193e-06	1.2177134e-06	1.2048362e-07	1.3195539e-07
s	0.05137517	0.8346731	0.11240556	0.0014337443	0.000104161736	5.919917e-06	9.3535556e-07	1.1041066e-06	9.69171e-08	3.9243286e-08	2.3996948e-08	1.9543794e-08	3.4421145e-08	1.5855267e-08	3.7113201e-09	2.9189568e-08
t	0.24334589	0.570255	0.13378441	0.0350062	0.008191565	0.007419111	0.00042627333	0.0011733685	0.00027048553	4.8474416e-05	2.7986109e-05	1.3277607e-05	1.8982844e-06	8.241825e-06	6.360352e-06	2.1526357e-05
o	0.7756619	0.2215448	0.002361581	0.00026038827	0.000117853306	4.500181e-05	5.257946e-06	1.1617608e-06	7.2585715e-07	5.7951286e-07	2.9091947e-07	2.495191e-07	9.308478e-08	2.0689361e-08	3.999273e-09	7.2891133e-09
s	0.0022325434	0.6153901	0.37558645	0.006170414	0.0006045017	1.0795596e-05	4.012958e-06	7.186217e-07	1.7442719e-07	1.1001257e-07	8.7767575e-08	6.205553e-08	9.918431e-08	2.2741425e-08	1.2810834e-09	7.861056e-09
p	0.0034099557	0.24156249	0.48513892	0.1503752	0.07863652	0.0353998	0.0030252424	0.0009001261	0.00075422827	0.00038432967	0.00019292312	0.00015039233	4.034689e-05	1.2373477e-05	3.6201832e-06	1.347439e-05
ì	0.0017793336	0.13865331	0.7071747	0.089289226	0.039825626	0.021164164	0.0013588322	0.00023170341	0.00021756436	0.00014248093	6.882337e-05	6.2759595e-05	1.6454309e-05	6.026568e-06	2.3197865e-06	6.74968e-06
