 	non	sono	andati	</S>
e	0.99628335	0.0027378306	0.0009036797	7.516153e-05
n	0.5577397	0.42876175	0.012894448	0.0006040783
è	0.59764135	0.391684	0.008288506	0.0023861409
c	0.017238887	0.966978	0.013526429	0.0022565364
h	0.024398765	0.8759502	0.08088824	0.018762704
u	0.049016938	0.72436506	0.19710828	0.029509775
n	0.004036791	0.8094225	0.14416943	0.042371247
e	0.0122788595	0.69745064	0.121582404	0.16868812
p	0.005249174	0.04681992	0.74507403	0.20285697
a	0.012848925	0.015773399	0.2945102	0.6768675
m	0.051231567	0.034362316	0.7014889	0.21291725
è	0.00625814	0.004309726	0.19392973	0.7955024
n	0.073591255	0.012661315	0.24164245	0.67210495
a	4.8899525e-05	0.00012492482	0.91509646	0.08472978
</S>	0.04847223	0.0072903214	0.026911635	0.9173258
