 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
à	0.93764395	0.0525385	0.003888424	0.0052262926	0.00049716316	4.3885582e-05	0.0001282304	2.4866327e-05	6.890447e-06	1.456405e-06	3.5480872e-07
r	0.9961014	0.003896435	1.5622271e-06	6.638921e-07	1.251332e-08	7.2174013e-09	9.715998e-10	6.6631084e-10	1.3407578e-09	3.2868326e-11	5.248761e-10
t	0.03670199	0.29016292	0.619739	0.03765604	0.008956436	0.0031933205	0.0025481877	0.00087801745	7.680413e-05	5.379796e-05	3.3506203e-05
e	0.43108213	0.45726776	0.09600496	0.010853787	0.002953035	0.00066860364	0.0008485475	0.00028376357	1.7805147e-05	1.7736087e-05	1.901452e-06
n	0.053822674	0.89987385	0.045546904	0.0007052142	3.709573e-05	1.0053538e-05	2.228065e-06	1.6801259e-06	1.4404846e-07	1.43647245e-08	7.1759544e-08
a	0.094045915	0.79347694	0.10684534	0.0041258736	0.0010326958	0.00018911553	0.00020568311	6.3922096e-05	8.57246e-06	6.205127e-07	5.3621397e-06
i	0.017530471	0.89108837	0.087671295	0.0033030005	0.0002944631	8.2712024e-05	1.6627499e-05	1.2543124e-05	4.5124747e-07	2.1303563e-08	6.037601e-08
v	0.002199928	0.986072	0.010031025	0.0016330307	5.1362145e-05	5.91971e-06	4.771204e-06	1.8806098e-06	1.7447296e-07	9.377719e-09	1.8106393e-08
ò	0.00046847676	0.39900088	0.5674538	0.020956114	0.008436777	0.0013588117	0.0017273105	0.000500197	5.9557635e-05	1.7865945e-05	2.0174266e-05
s	0.0035361913	0.13000675	0.7799743	0.07736643	0.006302353	0.002302803	0.000287025	0.0002180876	5.2216806e-06	2.5137507e-07	6.507246e-07
t	0.00022729485	0.14062348	0.8146573	0.030394942	0.009961076	0.0014752133	0.0020184286	0.0005780832	3.9497056e-05	6.364127e-06	1.83626e-05
e	0.00031881404	0.019112369	0.637678	0.2017636	0.09564847	0.018226752	0.019260652	0.0072097653	0.00047356694	0.00014637828	0.00016162227
s	0.00541277	0.033805028	0.49997938	0.3572856	0.08089372	0.011888366	0.0069977003	0.0036066482	0.000108901215	2.9435282e-06	1.8968425e-05
t	2.4473627e-06	0.006076163	0.49789432	0.29460773	0.14009604	0.02424252	0.026780846	0.00910079	0.0006833734	0.00013330227	0.00038244823
u	1.3813567e-06	0.00014478718	0.049002226	0.4731044	0.31196004	0.07809413	0.056458797	0.026584383	0.0027324755	0.0007715494	0.0011459383
d	0.0016884222	0.0011573489	0.0048279515	0.649759	0.27542362	0.048923705	0.00994776	0.007982258	0.00024682208	1.0401844e-05	3.279574e-05
i	5.425836e-05	0.0019465468	0.19779928	0.38459092	0.24726395	0.043431886	0.095613636	0.021546649	0.004147468	0.0016600294	0.0019453814
è	0.0052950243	0.0007941282	0.0007716307	0.706808	0.21664768	0.046754926	0.014314232	0.008272576	0.0002935947	1.2786723e-05	3.553348e-05
o	0.0009290889	0.00034048193	0.00040503743	0.4799176	0.33456218	0.10920493	0.042964797	0.027845064	0.0029976375	0.00014025425	0.0006929734
n	0.00019638386	8.492662e-05	6.893998e-05	0.20525138	0.43407816	0.2022852	0.08917426	0.061600372	0.005870193	0.00023642463	0.0011537476
a	7.9120014e-07	3.4066274e-05	0.00050815486	0.13331567	0.38997555	0.11299387	0.26203102	0.0724225	0.01733227	0.006981372	0.0044047255
n	0.0006734646	6.4206997e-06	7.502865e-06	0.04097946	0.41144815	0.35845074	0.0978814	0.083681926	0.0056921886	0.0004502529	0.0007284584
a	5.675719e-07	3.8741323e-06	9.222684e-05	0.0606142	0.40715122	0.19016701	0.229534	0.084297135	0.014970708	0.005591265	0.0075777327
m	0.00013407516	2.1986991e-06	3.2477128e-06	0.007236338	0.23020875	0.4801968	0.12989391	0.13822693	0.011726553	0.00077341014	0.0015978869
à	5.492773e-06	9.3060524e-05	0.0005680568	0.012533619	0.27829453	0.19953029	0.3334729	0.11901233	0.027859608	0.011827862	0.016802253
s	0.008144448	9.8138065e-05	2.3168039e-05	0.0030955437	0.06453861	0.49180374	0.07871862	0.31612042	0.031147402	0.0030311286	0.003278782
o	1.744397e-05	3.9766765e-05	0.00012390153	0.008180189	0.23220918	0.21987535	0.28109345	0.10930952	0.091008075	0.015200826	0.042942297
n	0.0004893817	2.6300737e-05	1.1311245e-05	0.0013351426	0.014731129	0.22032379	0.07043718	0.5419559	0.12526165	0.006952947	0.018475212
a	4.0019554e-06	2.7871301e-06	1.0880476e-05	0.00023488105	0.01775542	0.1166942	0.40357235	0.20284222	0.14878972	0.05327213	0.056821465
d	0.00038429294	1.3609576e-05	1.6708069e-05	0.00048282012	0.002950634	0.06290986	0.0604907	0.28088018	0.4938956	0.023233114	0.07474251
i	1.3498329e-05	8.507077e-05	0.000108979766	0.00058917503	0.0074577103	0.051062576	0.099443346	0.17058966	0.23814532	0.20035611	0.23214866
v	0.00047933272	3.4675493e-05	4.8512706e-05	0.0005717701	0.0016202232	0.015176243	0.019911049	0.1262126	0.6384324	0.044350527	0.1531627
