 	il	morto	si	piange	</S>
o	0.99499905	0.0047530057	0.00014308772	7.986194e-05	2.5202777e-05
a	0.99709725	0.0025307185	0.0002377416	6.8271875e-05	6.614185e-05
p	0.9492664	0.04674672	0.0025928144	0.0009884335	0.00040557163
e	0.2890204	0.70594	0.0047598355	7.030114e-05	0.0002094649
t	0.06107316	0.71308297	0.21466798	0.009665694	0.0015102279
a	0.16725211	0.7236224	0.09058923	0.0035937254	0.014942472
m	0.13631609	0.6337184	0.19617754	0.024243563	0.009544445
m	0.015388431	0.8530528	0.112895496	0.0051589003	0.013504368
è	0.010078293	0.022588035	0.43383586	0.103372514	0.4301253
n	0.0057901214	0.12334046	0.7763209	0.06268522	0.03186331
o	0.0017594361	0.9562724	0.031052012	0.004368293	0.0065478487
i	0.003066682	0.0098608695	0.56110233	0.31499177	0.11097829
k	0.0038973328	0.0020095508	0.41753027	0.40297005	0.17359282
l	0.0002763791	0.0010960695	0.4278732	0.22793412	0.3428203
è	2.5883335e-06	3.9697206e-05	0.016125003	0.4310966	0.5527361
e	0.00012214888	0.00029754604	0.02309192	0.88126487	0.095223546
t	0.0017103958	0.0002607454	0.0072108353	0.81157845	0.17923957
e	3.700089e-05	0.0001725744	0.06836427	0.6561477	0.27527848
</S>	0.043687887	0.002428537	0.0036196967	0.64418685	0.30607703
