 	voglio	che	Maria	che	venga	domani	</S>
i	0.9837821	0.012849489	0.0032032465	0.0001354748	5.3730014e-06	1.6795635e-05	7.5290723e-06
t	0.747451	0.24572368	0.0067987223	1.8766834e-05	3.6207791e-06	3.1309542e-06	9.4249685e-07
è	0.5183483	0.4794107	0.0013982868	0.00073545496	8.937628e-05	2.0221858e-06	1.5862037e-05
l	0.09726802	0.85318077	0.049083207	0.00034733053	1.8501014e-05	9.608847e-05	5.9942e-06
o	0.29949555	0.68621933	0.009500269	0.0024831302	0.00020881664	0.0019527336	0.00014009369
k	0.010457911	0.8969069	0.08978906	0.002476275	0.0003080365	2.3202914e-05	3.8594397e-05
a	0.0047899643	0.53589165	0.14731723	0.26671457	0.037272967	0.0014266701	0.0065869982
i	0.007364282	0.35437927	0.40136504	0.19238788	0.04235441	0.00075053034	0.0013985175
M	0.0023021265	0.007479301	0.81204975	0.13349506	0.0410491	0.0005605831	0.0030639991
a	0.0019448127	0.044393178	0.22072932	0.6150386	0.091712125	0.0014102781	0.024771757
r	0.004159029	0.021438448	0.34629	0.57047486	0.021866314	0.029505374	0.006265912
ì	0.00014026412	0.0006119256	0.14977668	0.6775658	0.10508139	0.006390511	0.060433354
a	0.010523661	0.0062937653	0.004107106	0.6215649	0.23697452	0.07245323	0.048082784
n	0.109382644	0.0050705373	0.0013958175	0.14303118	0.49074337	0.07081435	0.17956202
a	1.6816597e-05	1.2815836e-05	0.00078558683	0.33980963	0.44089353	0.0317282	0.18675338
r	0.024335578	0.00033634892	0.00016191597	0.008842809	0.3119669	0.43760264	0.21675383
t	2.5289619e-05	6.336768e-05	0.00011892347	0.0205081	0.19393592	0.049382232	0.7359661
i	5.865699e-06	1.6044495e-06	2.2306709e-05	0.0010401232	0.08755885	0.22002345	0.6913478
à	0.06385004	0.00055055553	5.063833e-05	0.00026533953	0.03384433	0.7046453	0.1967939
v	0.0019496456	6.909556e-05	1.8060995e-05	1.30302515e-05	0.0006236459	0.9936865	0.0036400354
v	1.3980374e-06	3.42352e-05	0.00010738966	3.280676e-05	0.00055520935	0.9847199	0.014549024
r	0.0019365526	0.005570682	0.0026485443	0.001029832	0.0073984745	0.82082796	0.16058797
i	0.0013328197	0.0002915612	0.000517185	0.0020791218	0.0058978065	0.21769091	0.77219063
</S>	0.73699105	0.0940422	0.010141574	0.009409885	0.04451628	0.042573687	0.06232525
