 	voglio	che	Maria	viene	domani	</S>
t	0.9874362	0.009047839	0.0033386457	3.8757527e-05	8.7841465e-05	5.0908846e-05
è	0.88389236	0.11558155	0.00041168617	8.4912346e-05	1.0644388e-05	1.8884271e-05
l	0.8846045	0.11252138	0.002833293	2.4335044e-05	1.2297613e-05	4.100395e-06
o	0.36620578	0.53095603	0.046728585	0.0028785157	0.0493753	0.0038557958
e	0.07227849	0.8771279	0.044808857	0.0055772355	3.9935483e-05	0.00016749419
M	0.00052561145	0.11180572	0.8697948	0.015943035	0.0007007708	0.0012301867
a	0.0043355264	0.660919	0.07179508	0.2573929	0.00025939953	0.0052980497
r	0.0048268973	0.31605673	0.56150794	0.1025633	0.0087720975	0.0062730433
ì	0.0037890505	0.150053	0.39459267	0.37357002	0.0049289945	0.07306627
a	0.0050598565	0.017484596	0.1324885	0.7870091	0.017004602	0.040953446
n	0.08171146	0.053411532	0.09230979	0.64758885	0.03593169	0.08904665
a	1.3688713e-05	0.00029671218	0.05446833	0.82305574	0.010874567	0.111291006
r	0.033591814	0.0015639816	0.010978661	0.35378176	0.30153322	0.2985505
t	2.2073362e-05	0.00018573609	0.0013796741	0.41363567	0.030467182	0.55430967
i	1.22116e-05	2.8029444e-06	0.0004569365	0.10275181	0.12881477	0.7679615
à	0.27785137	0.0009841816	0.000107472784	0.0075094313	0.57827353	0.13527402
v	0.0051068156	6.741581e-05	2.565031e-05	0.00020787604	0.98536193	0.009230305
v	1.7065796e-06	1.1769886e-05	7.4319054e-05	0.00010640678	0.98718226	0.01262358
r	0.00458093	0.004663126	0.0010236303	0.003570273	0.73505896	0.25110307
i	0.0013986299	0.00040689408	0.00040035587	0.0033173596	0.13520572	0.85927105
</S>	0.76796955	0.053932473	0.0089803655	0.028756414	0.022636442	0.117724776
