 	non	ti	dimentichiamo	mai	</S>
e	0.97794855	0.021003367	0.0009835233	4.8373284e-05	1.6192824e-05
s	0.7305399	0.26910403	0.0003195456	2.3870733e-05	1.2708519e-05
e	0.7412956	0.25682157	0.0016033979	0.000116052426	0.00016347344
a	0.14634132	0.8425612	0.009314008	0.0014087849	0.00037477651
l	0.008619063	0.9718512	0.016567683	0.0023349845	0.000626956
l	0.012245408	0.93554354	0.05018396	0.0006813312	0.0013458246
i	0.03181375	0.19483936	0.5407164	0.09798857	0.13464195
m	0.0016043226	0.27805838	0.7113218	0.0069155116	0.0020999939
o	0.07833379	0.5696745	0.2985087	0.016640143	0.036842857
n	0.001041155	0.039465778	0.9482298	0.008735902	0.0025272553
ù	0.0024267947	0.23362596	0.4314203	0.05520036	0.2773266
m	0.021460297	0.006164257	0.1683025	0.5700832	0.23398967
e	0.00044335832	0.014808981	0.31124848	0.30433837	0.36916083
m	0.009846395	0.0023412276	0.01705499	0.76355714	0.20720026
à	0.003506582	0.01568989	0.014667104	0.2719828	0.69415367
i	0.040390164	0.00067892775	0.0073205773	0.8505262	0.10108415
</S>	0.005285155	0.000106317115	0.00029168627	0.635972	0.3583448
