 	ho	messo	uno	specchio	sul	muro	</S>
è	0.98497194	0.01379991	0.0010977256	0.00012659875	2.0056127e-06	1.0460161e-06	8.239013e-07
v	0.8995977	0.09078018	0.0067040827	0.0028966635	1.7189092e-05	3.3843453e-06	7.9660555e-07
a	0.22336605	0.74965245	0.021285858	0.004408991	0.0006358126	0.00038225832	0.00026857172
l	0.1432887	0.62399334	0.08979837	0.13936858	0.0033303264	0.00012729535	9.332037e-05
a	0.0013249313	0.67840976	0.3018843	0.017824693	0.00050224876	2.9921035e-05	2.419092e-05
è	0.0065595424	0.23452987	0.105635464	0.6417205	0.011455237	6.812107e-05	3.1274656e-05
n	0.000945016	0.11548566	0.45315823	0.41607663	0.011193088	0.0018183846	0.0013231268
a	0.0005535106	0.6926334	0.26870966	0.029307768	0.0040538497	0.002988426	0.0017534272
n	0.004943197	0.00610344	0.2635046	0.6738265	0.045765918	0.0030442206	0.0028120866
j	0.0012829638	0.022048723	0.7923836	0.13803379	0.03708916	0.005099203	0.0040624705
a	0.035901908	0.015164177	0.42046803	0.43228745	0.060840648	0.016651984	0.018685834
l	0.03505884	0.00019889472	0.007285205	0.7083138	0.15240534	0.054873824	0.041864052
ì	0.0023788977	0.0008567242	0.19261062	0.41113666	0.27151936	0.07159107	0.049906608
s	0.015779689	1.1405135e-05	3.139062e-05	0.0021325937	0.94566476	0.021741318	0.014638977
t	0.00074966083	0.0005031305	0.002214997	0.019545948	0.4809647	0.2932663	0.20275524
o	2.0869393e-06	3.633411e-07	3.146432e-05	0.00028273286	0.18825944	0.39676207	0.41466182
t	0.0015727532	4.310406e-05	0.00012481736	0.00014340629	0.069527104	0.2523053	0.6762835
ì	6.956171e-05	1.3833702e-05	0.00060763286	0.00018149278	0.11544876	0.52214825	0.36153048
c	0.0195503	8.640869e-05	0.00013478588	0.00013463428	0.008141605	0.6063503	0.36560196
h	1.16723695e-05	8.866923e-06	0.00016301467	0.00019810816	0.11442067	0.52768	0.3575177
o	6.547189e-05	1.8331102e-05	0.00024810084	5.99412e-05	0.012169267	0.3861535	0.6012854
</S>	0.0019430161	0.00036595197	0.0027103908	0.000725295	0.0015402482	0.08201608	0.910699
