 	ha	pensato	che	il	ladro	è	entrato	dalla	finestra	</S>
e	0.9838747	0.015468796	0.00034502597	0.00021050402	9.212883e-05	6.4258634e-06	2.2986883e-06	8.749663e-08	7.686637e-08	6.6219236e-08
p	0.07766938	0.9219268	0.00037956669	3.045573e-06	1.690573e-05	4.2300954e-07	3.5584899e-06	3.6479165e-07	3.2422411e-09	5.454863e-09
è	0.071121395	0.46003976	0.42531508	0.040535536	0.0022385623	0.0006338681	9.720798e-05	8.654168e-06	2.5011389e-06	7.332169e-06
n	0.023553425	0.8703863	0.10320495	0.0016597519	0.0009896059	7.441216e-05	0.00012908809	2.1223275e-06	1.3991513e-07	1.9100072e-07
s	0.011091783	0.7441404	0.18141244	0.039130267	0.022300165	0.00072783214	0.00048297126	0.0005050938	8.253788e-05	0.0001264363
e	0.023310704	0.14461163	0.63863534	0.14447522	0.038469817	0.009201349	0.0011200069	4.331843e-05	3.9504142e-05	9.3081595e-05
t	0.011228713	0.23397975	0.71366733	0.031051867	0.008153314	0.0014532378	0.00040788465	5.453518e-05	1.1934922e-06	2.1371206e-06
s	0.0012159027	0.63527226	0.31389633	0.040359203	0.007926984	0.00056472677	0.00037798143	0.00034807404	6.49668e-06	3.2012686e-05
e	0.010122392	0.091543175	0.7792153	0.10338131	0.013013632	0.002190278	0.00046768476	1.5247892e-05	1.1140818e-05	3.97449e-05
k	0.00421037	0.011991507	0.8223561	0.14728406	0.010689651	0.003190782	0.00025082176	2.146132e-05	1.4932482e-06	3.6570127e-06
a	0.00042304967	0.00041557042	0.6595754	0.31214458	0.02172879	0.0041866465	0.0007548497	0.00044371266	0.00014820164	0.00017917015
o	0.009208953	0.007060749	0.5512101	0.26903677	0.14160945	0.019555742	0.0022404448	5.684904e-05	5.0861004e-06	1.5886373e-05
l	0.0067856405	0.0049297777	0.22960956	0.46740103	0.19284597	0.08203171	0.0152598675	0.0010595685	1.8470533e-05	5.8463804e-05
à	0.00039109134	9.075018e-05	0.1927626	0.69804037	0.081565104	0.017563181	0.005272015	0.0023227117	0.0008245348	0.0011676053
d	0.029810002	0.0074284207	0.029841531	0.4062954	0.48160416	0.033447348	0.011340009	0.0001540053	3.2294323e-05	4.6920883e-05
r	6.4641577e-06	0.00017697373	0.021406576	0.25088346	0.42002335	0.019589433	0.031923704	0.24443687	0.008538139	0.003015052
o	0.002005302	0.00034394735	0.0040894197	0.8232441	0.10424754	0.048509948	0.012763367	0.0011310494	0.0007393632	0.0029260514
m	0.022794235	0.008608055	0.0010754862	0.13101824	0.35562998	0.42347568	0.045100573	0.011095523	0.00020394131	0.0009982894
b	0.00024691288	0.000119461685	0.0015253619	0.2410174	0.43661678	0.21477374	0.050081827	0.029849209	0.007331876	0.018437432
ì	6.553247e-06	5.864307e-06	2.5749964e-06	0.0011876508	0.1096431	0.17557314	0.7016653	0.0042179185	0.00087146315	0.006826381
k	0.37964335	0.039390936	0.0006542664	0.020171119	0.12500387	0.3823415	0.022863958	0.018050056	0.0020013086	0.009879547
e	1.2751013e-06	2.9050996e-05	1.4118724e-05	0.0064597805	0.2718798	0.05777908	0.11790968	0.49528006	0.03934566	0.011301514
à	0.25649378	0.08674545	0.0032145488	0.0062972507	0.038822055	0.27075076	0.07750676	0.20178252	0.010822565	0.04756428
t	0.0012862706	0.0042379764	4.3018927e-06	1.34223355e-05	0.0022037532	0.028267123	0.28240246	0.6484274	0.0060753236	0.02708186
t	1.1562291e-06	3.7756072e-06	5.9387767e-06	0.00024902832	0.021071406	0.097741425	0.054211017	0.59528995	0.16078992	0.07063643
i	4.499832e-06	6.3186025e-07	3.5988717e-07	1.603566e-05	0.0002381518	0.047107857	0.12303154	0.15462962	0.22821283	0.44675854
f	0.010662525	0.003432057	4.973011e-05	0.00020194723	0.005219705	0.13006286	0.2006433	0.5409971	0.017991547	0.09073931
i	4.7095706e-05	0.00023949449	0.00026239784	0.0022828078	0.00036060135	0.0014493177	0.00080257835	0.37895703	0.2907732	0.3248255
n	0.005173678	0.00056687155	3.60709e-05	0.00034305724	0.00085547304	0.008386264	0.011351485	0.083433345	0.16095547	0.72889835
è	5.0988943e-05	1.0627916e-05	3.4412958e-06	1.8327977e-05	1.5725716e-05	0.0011264663	0.0026598806	0.19091083	0.32002604	0.4851777
s	0.0061768196	0.0025489347	4.2149855e-05	0.00051668234	0.0018853981	0.004680953	0.013070443	0.12501276	0.26741487	0.578651
t	9.248713e-06	6.161667e-05	5.9261233e-06	7.519437e-06	9.8035525e-05	0.00033072763	0.00147035	0.58839136	0.24739632	0.16222882
r	2.118978e-06	6.981653e-07	4.768999e-07	2.526689e-06	3.1624754e-06	4.2023265e-05	0.00018547689	0.010923639	0.5382049	0.45063496
a	0.00014386419	0.00013601057	0.00012534135	0.0002402274	0.0002008868	0.00049803767	0.00065022305	0.036826562	0.32872277	0.6324561
</S>	0.06686476	0.045070183	0.0012731476	0.007344578	0.020103877	0.056841627	0.05997698	0.016337667	0.05969622	0.666491
