 	hai	già	mangiato	</S>
ì	0.9933293	0.004460498	0.0015648296	0.00064539444
s	0.48375052	0.51021785	0.0056944694	0.00033720586
e	0.90532565	0.062331546	0.011433556	0.020909268
g	0.104738	0.8729453	0.018593283	0.0037233976
i	0.01744792	0.7763811	0.13058993	0.07558106
à	0.002828314	0.74286187	0.22735605	0.026953815
f	0.0028001422	0.09095907	0.6711211	0.2351196
a	0.00036738635	0.0145753175	0.61733323	0.36772412
m	0.06552867	0.007395131	0.6942411	0.2328351
è	0.005772147	0.0010691582	0.23478083	0.7583778
n	0.51203495	0.014481399	0.12039056	0.3530931
a	0.0010002838	0.0003402528	0.48337752	0.5152819
</S>	0.21610548	0.008074921	0.012784407	0.7630352
