 	la	casa	la	costruisce	il	mastro	</S>
o	0.989669	0.009067252	0.0007376212	0.0005144085	8.253665e-06	2.0018667e-06	1.3637074e-06
s	0.14714135	0.8519247	0.00064397993	0.0002817013	5.566972e-06	6.215653e-07	2.0681925e-06
p	0.5014285	0.4787866	0.018847222	0.00086408516	5.251292e-05	3.003582e-06	1.8135801e-05
ì	0.032218985	0.9524183	0.0140796285	0.0012679831	1.3719276e-05	2.9766557e-07	1.0772845e-06
t	0.057596415	0.92498094	0.014036859	0.003267565	0.0001102535	3.3884185e-06	4.470874e-06
i	0.2344412	0.6029352	0.14337543	0.016042784	0.0013553633	0.00018489023	0.0016652193
o	0.00050813775	0.6998835	0.29294312	0.005653917	0.0009013173	5.34978e-05	5.653275e-05
f	0.0035807802	0.09895714	0.86857885	0.025192698	0.0032951643	0.000249186	0.00014622943
a	0.011457565	0.10523969	0.81951964	0.055027578	0.005628084	0.00060969195	0.002517702
b	0.007376266	0.08891716	0.4109673	0.486064	0.006292637	0.00013603143	0.00024663043
b	0.0023797762	0.006640091	0.856354	0.11771257	0.011042261	0.0009890439	0.004882318
r	0.0002694655	0.0012159026	0.1958304	0.76763403	0.02825076	0.0007333611	0.0060660425
i	0.00029206258	0.0024647447	0.3070328	0.6581114	0.027877845	0.0003658272	0.0038552647
k	0.267408	0.011196227	0.20163006	0.34190768	0.15817952	0.010720687	0.00895778
è	0.0011865415	0.0006038546	0.40092093	0.51391166	0.060431607	0.00636993	0.016575497
i	0.00045391393	0.00081593316	0.022030005	0.6325644	0.3314146	0.0048539587	0.007867118
o	0.008080601	0.0019146986	0.006472266	0.057575572	0.86606514	0.03397492	0.025916904
m	0.010782538	0.00018640951	7.137576e-05	0.002280121	0.6915266	0.23248221	0.06267069
à	9.4443676e-05	5.433156e-05	0.002764854	0.010490726	0.2890943	0.19318165	0.5043197
s	0.06290383	0.0034253409	0.00080439186	0.014570803	0.5414518	0.24383022	0.13301358
c	8.320826e-06	9.089219e-06	0.00016239431	0.004776315	0.26699778	0.26911035	0.45893574
i	0.0005935647	0.000645738	0.0030263069	0.0010757832	0.043614432	0.44071534	0.5103288
a	0.04922796	0.003089915	0.0011217259	0.00097217364	0.021213105	0.68079835	0.2435768
</S>	0.30142987	0.039535902	0.0076291035	0.0023400255	0.015942203	0.48139334	0.15172957
