 	tutto	il	cibo	vuole	girato	</S>
ò	0.9862212	0.011140091	0.0021779104	0.00019818897	0.00025556513	7.0657793e-06
l	0.977518	0.022209633	0.00019108396	6.822554e-05	4.8680376e-06	8.20813e-06
o	0.8408535	0.14104158	0.0103765465	0.0041675675	0.0010017396	0.0025590018
o	0.43929172	0.54264015	0.017704554	0.0002814542	4.0934967e-05	4.110929e-05
m	0.01727795	0.8366765	0.14454158	0.0009153246	0.0005098928	7.882622e-05
a	0.023010029	0.81291956	0.16235638	0.0015036144	6.6570254e-05	0.0001437801
r	0.0024565551	0.61008966	0.3752582	0.0119046485	0.00020130527	8.9696005e-05
ì	0.0016663173	0.7350314	0.25061068	0.010116856	0.00038045945	0.0021943639
o	0.0015203089	0.08554262	0.7087508	0.20048063	0.0014844092	0.0022212407
t	0.0031360418	0.043657757	0.80870444	0.11376512	0.025050165	0.0056865015
è	8.003201e-05	0.026692098	0.81031495	0.13359675	0.016223857	0.013092251
l	0.0002499544	0.00013151151	0.20237043	0.7714989	0.014782253	0.010966915
i	6.124592e-05	0.014526006	0.38109258	0.4241738	0.103006236	0.07714016
v	0.003762697	0.00031144108	0.023506768	0.74263704	0.1731705	0.05661148
o	0.0004174753	0.0020180058	0.053581126	0.622885	0.16299227	0.15810609
t	0.013152331	0.00016123304	0.0016214767	0.72180057	0.17074332	0.09252105
i	3.3053482e-05	2.5964617e-05	0.0065479362	0.6028521	0.0961992	0.29434174
m	0.0012096048	5.1833566e-05	0.0005827563	0.33649006	0.2661239	0.39554182
m	0.00016782279	0.00011276613	0.0030430558	0.10193456	0.42281014	0.47193167
è	1.0572986e-05	2.7946562e-06	0.00040047755	0.002713083	0.3959982	0.60087484
n	0.09868293	0.018198017	0.016153576	0.0151573215	0.6794787	0.17232946
o	5.6737223e-05	2.5479501e-05	0.00022968563	0.020291522	0.9265124	0.05288418
</S>	0.0044610123	0.00096098566	0.004084405	0.017966568	0.15721531	0.8153117
